"","n.trees","interaction.depth","shrinkage","n.minobsinnode","mean_ROC_AUC","fold_ROC_AUC"
"52",1000,4,0.005,10,0.857230238867702,"0.850025590173373, 0.860387792430795, 0.855076808292364, 0.864568667605273, 0.856092335836703"
"53",500,5,0.005,5,0.856743796310047,"0.846141748235344, 0.860027836585379, 0.855388571352439, 0.864765988310081, 0.857394837066992"
"54",100,6,0.005,15,0.855035166390892,"0.847878414688759, 0.857922761474592, 0.85160877732923, 0.861887505866291, 0.855878372595588"
"55",500,6,0.01,10,0.858609842262023,"0.850718657368904, 0.862000927886179, 0.85677152031123, 0.865264623064124, 0.858293482679676"
"56",1000,3,0.005,5,0.854712950465241,"0.845563303691383, 0.858835982786112, 0.852406837470189, 0.861982166474679, 0.854776461903845"
"57",100,5,0.01,10,0.853496402190003,"0.845979144008701, 0.856310959189006, 0.850289779767377, 0.859444995520287, 0.855457132464643"
"58",500,5,0.01,15,0.857997170565354,"0.848703431215747, 0.859966510774678, 0.856622300385041, 0.867427151328982, 0.857266459122323"
"59",250,5,0.01,5,0.857373899423723,"0.848246273431002, 0.860953056425078, 0.855158079859307, 0.863582064081232, 0.858930023321993"
"60",500,5,0.01,20,0.858323964901408,"0.850835945663532, 0.861774289020547, 0.856574336837337, 0.866000575963138, 0.856434677022488"
"61",100,6,0.01,20,0.854956685914198,"0.844640991192715, 0.858358707998485, 0.853255525800392, 0.863190089167627, 0.855338115411772"
"62",250,5,0.01,20,0.856519347457559,"0.844718294841448, 0.860722418050053, 0.856026753001053, 0.864051367379154, 0.85707790401609"
"63",500,3,0.005,5,0.852843298838095,"0.842580449107543, 0.856126981756904, 0.851532835045365, 0.859170346431162, 0.854805881849498"
"64",50,5,0.005,5,0.851145623292957,"0.843346821487216, 0.854959125013998, 0.848476491200021, 0.859970295234438, 0.84897538352911"
"65",100,4,0.005,20,0.851417561343794,"0.840136054421769, 0.854476517547181, 0.848596400069281, 0.859538322880669, 0.854340511800073"
"66",50,5,0.01,15,0.851291163527056,"0.842463160812915, 0.855505724631112, 0.848527119389264, 0.85803708562652, 0.851922727175471"
"67",50,6,0.005,15,0.853237715524543,"0.842886998059412, 0.857796110343798, 0.84992738851806, 0.860122285507061, 0.855455795194386"
"68",50,3,0.01,5,0.844815160849597,"0.836008306143774, 0.849442468390544, 0.843442983332667, 0.847707080080208, 0.847474966300789"
"69",500,3,0.005,10,0.852481794908471,"0.842161943147165, 0.855085776144793, 0.852406837470189, 0.859019689406545, 0.853734728373665"
"70",500,6,0.005,5,0.858229661261768,"0.849404495340456, 0.861035712952544, 0.856433110835765, 0.865229958615982, 0.859045028564093"
"71",750,5,0.01,10,0.857752466392626,"0.850249504190391, 0.861318344949686, 0.855902847169485, 0.865640599001664, 0.855651036651903"
"72",50,6,0.005,20,0.851845406015363,"0.843154895186915, 0.855179098030642, 0.850032641858854, 0.857838431673706, 0.8530219633267"
"73",100,5,0.005,15,0.852167273255722,"0.843216204977289, 0.856145646134074, 0.848861531902421, 0.857585114552669, 0.855027868712155"
"74",750,3,0.01,15,0.856691715538005,"0.849473802060009, 0.860697087823894, 0.853845743901302, 0.864392678868552, 0.855049265036267"
"75",250,5,0.01,10,0.856779506001297,"0.847101379736848, 0.859933181529732, 0.855585754826332, 0.863328746960195, 0.857948466953377"
"76",750,4,0.01,5,0.85765496841428,"0.849972277312179, 0.860961055443866, 0.8556790172802, 0.865053969879261, 0.856608522155894"
"77",500,5,0.01,5,0.858248507755501,"0.850958565244279, 0.862120913167985, 0.855487163089385, 0.866021907931226, 0.856653989344631"
"78",500,5,0.005,15,0.856550960512379,"0.845096816155929, 0.860161153565163, 0.855316626030883, 0.864547335637186, 0.857632871172733"
"79",1000,3,0.01,5,0.856762033887298,"0.850022924530314, 0.86024914277182, 0.853965652770561, 0.864574000597295, 0.854998448766502"
"80",1000,4,0.005,5,0.857272432709487,"0.849724372507624, 0.861089039744458, 0.854586514249171, 0.864896646614617, 0.856065590431564"
"81",50,4,0.01,5,0.848197601960495,"0.83734246049517, 0.852120806514401, 0.846094301664069, 0.854946616749861, 0.850483824378972"
"82",1000,6,0.005,15,0.858748059190989,"0.850835945663532, 0.862502199730166, 0.856744873895839, 0.866080570843466, 0.85757670582194"
"83",1000,5,0.005,15,0.858612111384665,"0.850670675793828, 0.861035712952544, 0.856678257857362, 0.867088506335595, 0.857587403983996"
"84",500,5,0.005,10,0.856979362773932,"0.84817563388992, 0.859630551985623, 0.855068814367747, 0.864744656341994, 0.857277157284379"
"85",250,4,0.01,20,0.854526319746009,"0.843869287526923, 0.857146856652251, 0.852806533701054, 0.862783448525961, 0.856025472323855"
"86",750,5,0.01,20,0.857582775654679,"0.849732369436803, 0.861798286076908, 0.855321955313961, 0.864872648150518, 0.856188619295205"
"87",250,6,0.01,10,0.857871200577294,"0.847623845776555, 0.861237021592018, 0.856575669158106, 0.86516596271172, 0.858753503648073"
"88",1000,6,0.01,10,0.855649789475297,"0.847834431578274, 0.858494691317865, 0.854104214130594, 0.86357673108921, 0.854238879260543"
"89",750,6,0.005,10,0.859142204782642,"0.850252169833451, 0.861824949472865, 0.857477650319091, 0.867536477665429, 0.858619776622376"
"90",50,6,0.005,10,0.853530851185586,"0.845748565884034, 0.855180431200439, 0.851750003330802, 0.85958498656086, 0.855390268951794"
"91",100,5,0.005,20,0.852957080860249,"0.843556074467405, 0.858133402302651, 0.850844025207509, 0.857147809206877, 0.855104093116802"
"92",50,4,0.01,10,0.850039754555485,"0.842587113215192, 0.854787146110077, 0.847709074436761, 0.853420047783608, 0.851695391231786"
"93",50,5,0.01,10,0.851642743817408,"0.842141950824217, 0.856476272243938, 0.848171389743795, 0.855826560433466, 0.855597545841624"
