"","n.trees","max_depth","min_samples_split","mean_ROC_AUC","fold_ROC_AUC"
"56",750,5,10,0.797781863820066,"0.853521126760563, 0.856344854901687, 0.747242820150659, 0.790236241457425, 0.741564275829997"
"57",100,3,20,0.799241828993731,"0.865492957746479, 0.852874271397505, 0.737185145951036, 0.799202375740039, 0.741454394133593"
"58",100,5,5,0.796270757994216,"0.857746478873239, 0.856271254857982, 0.737152777777778, 0.790700729093297, 0.739482549368783"
"59",900,3,5,0.796333843500542,"0.849859154929577, 0.856915444931233, 0.744300258945386, 0.790057299499343, 0.740537059197169"
"60",500,4,17,0.798337759464664,"0.85887323943662, 0.855328870793226, 0.741843220338983, 0.794519426624279, 0.741124040130213"
"61",500,4,10,0.798343584130603,"0.851549295774648, 0.857377531803565, 0.751968573446328, 0.788899887685367, 0.741922631943105"
"62",250,3,10,0.800190741574768,"0.855774647887324, 0.85663014991646, 0.74865524952919, 0.795663512973292, 0.744230147567574"
"63",900,6,20,0.798651074660266,"0.846760563380282, 0.858146159064111, 0.751388888888889, 0.794496582970056, 0.742463178997992"
"64",1000,4,17,0.797827002867243,"0.849014084507042, 0.858246315824616, 0.750588512241055, 0.791108107593611, 0.74017799416989"
"65",500,3,5,0.797923657651432,"0.845352112676056, 0.857155972909114, 0.750176553672316, 0.794462317488721, 0.742471331510951"
"66",750,5,20,0.797629440527505,"0.848028169014085, 0.858515676809309, 0.744020715630885, 0.792926081742209, 0.744656559441035"
"67",250,5,17,0.800089876083092,"0.866760563380282, 0.854238527877724, 0.746777895480226, 0.793461003978603, 0.739211389698626"
"68",50,6,20,0.79612393326156,"0.86112676056338, 0.861383043460446, 0.731352989642185, 0.784789933563039, 0.741966939078752"
"69",250,6,10,0.796347648175623,"0.853943661971831, 0.854802289037236, 0.742664194915254, 0.794546077554206, 0.735782017399589"
"70",50,6,5,0.799211493447026,"0.865070422535211, 0.860787414240774, 0.732547669491525, 0.799617368791761, 0.738034592175856"
"71",250,3,20,0.7987122556566,"0.85943661971831, 0.857908666139579, 0.74364406779661, 0.788599112904761, 0.743972811723739"
"72",250,5,15,0.799279673406744,"0.851549295774648, 0.861654680735151, 0.750414901129943, 0.791304182292361, 0.741475307101619"
