"","n.trees","max_depth","min_samples_split","mean_ROC_AUC","fold_ROC_AUC"
"17",900,6,15,0.82759514389108,"0.819386688844817, 0.827301184388048, 0.827676299345831, 0.834039954776228, 0.829571592100477"
"18",50,4,10,0.827137256140482,"0.817929914912674, 0.825581395348837, 0.829526892894733, 0.831590778190196, 0.831057299355971"
"19",50,6,15,0.828349419718466,"0.822927995649671, 0.827601147592562, 0.828952662643058, 0.830812161355007, 0.831453131352034"
"20",500,6,15,0.828211894249224,"0.819535964856162, 0.827939772721213, 0.82980268329403, 0.834149281112676, 0.829631769262041"
"21",500,6,20,0.828958488083077,"0.819766542980829, 0.829384928782069, 0.82941764259163, 0.834453261657921, 0.831770064402936"
"22",750,5,17,0.827941650951525,"0.818838899196042, 0.827274520992092, 0.828077327897465, 0.834810572123384, 0.830706934548645"
"23",750,3,20,0.828686447577723,"0.819218753332054, 0.828202407171387, 0.829520231290886, 0.835761177951278, 0.830729668143013"
"24",900,5,15,0.827878519844437,"0.818332427014693, 0.827839784986375, 0.828960656567675, 0.834613251418576, 0.829646479234867"
"25",50,5,5,0.828714396202896,"0.820878116136737, 0.829628898855074, 0.829143184513103, 0.834043954520244, 0.829877826989323"
"26",500,3,10,0.827747310596768,"0.818516356385815, 0.827067879673427, 0.828111968237473, 0.834285272409232, 0.830755076277895"
"27",50,6,17,0.827523253599884,"0.819793199411426, 0.827161201559275, 0.828301157786749, 0.831542781261999, 0.830817927979973"
"28",500,6,17,0.828400945852077,"0.819189431258397, 0.82820640668078, 0.828794116471482, 0.834679913818849, 0.831134861030875"
"29",50,5,20,0.829230867012026,"0.82014639711684, 0.828799667240818, 0.830207708807973, 0.833473324373907, 0.833527237520594"
"30",900,4,20,0.827963998334567,"0.819085471179067, 0.827631810497912, 0.827032788414139, 0.836099822944665, 0.829970098637054"
"31",900,4,10,0.828068557893412,"0.818517689207344, 0.827979767815148, 0.828594268356049, 0.834918565211827, 0.830332498876693"
"32",500,5,15,0.828407218661212,"0.819575949502058, 0.827703801666996, 0.828991299945375, 0.835650518366825, 0.830114523824807"
"33",100,6,5,0.8294671681349,"0.82183774763824, 0.829182286972798, 0.82926975498621, 0.833909296471692, 0.833136754605559"
"34",900,6,5,0.828256704282284,"0.81936003241422, 0.828285063698853, 0.828638234941445, 0.834298604889287, 0.830701585467617"
"35",500,3,15,0.828961850168889,"0.819101465037426, 0.830474128506903, 0.829028604926922, 0.835634519390759, 0.830570532982434"
"36",500,6,10,0.828726080522055,"0.819626596720193, 0.827311849746431, 0.829091224003091, 0.835777176927343, 0.831823555213214"
"37",1000,6,17,0.827823542580394,"0.819142782504852, 0.827779792345472, 0.828127956086707, 0.834163946840736, 0.829903235124206"
"38",1000,5,17,0.828025868264832,"0.819242744119591, 0.828087754568773, 0.828222550861345, 0.834293271897265, 0.830283019877185"
"39",100,6,17,0.828181900828167,"0.818412396306485, 0.827305183897442, 0.828486350373716, 0.83550786083024, 0.831197712732953"
"40",750,4,17,0.828366357490321,"0.818786919156377, 0.828726342901937, 0.82947759702626, 0.834783907163275, 0.830057021203757"
"41",250,4,10,0.828814914637194,"0.818725609366003, 0.827167867408265, 0.829645469443223, 0.835286541661334, 0.833249085307144"
"42",750,3,17,0.827900591145885,"0.818371078839059, 0.828138415021091, 0.828241203352119, 0.8340332885362, 0.830718969980957"
"43",900,3,10,0.828731341690486,"0.819301388266905, 0.828525034262464, 0.829835991313269, 0.835458530654038, 0.830535763955752"
"44",100,4,17,0.829507911366517,"0.820966082357708, 0.828775670184457, 0.831769188749883, 0.8342772729212, 0.831751342619338"
"45",900,4,15,0.828181108844859,"0.819246742584181, 0.827885112759501, 0.828957991926136, 0.835611854174666, 0.82920384277981"
"46",250,5,20,0.829093943436651,"0.820540912289681, 0.828517035243677, 0.829618823027832, 0.835358537053629, 0.831434409568436"
"47",100,6,20,0.828284925418869,"0.819485317638027, 0.826139993494131, 0.830078473693326, 0.834343935321473, 0.831376906947386"
"48",1000,3,15,0.82810322060601,"0.819759878873179, 0.828181076454622, 0.828038690595148, 0.834642582874696, 0.829893874232407"
"49",900,4,5,0.828373101483791,"0.819078807071418, 0.828875657919295, 0.828110635916703, 0.835453197662016, 0.83034720884952"
"50",750,6,15,0.828381017943324,"0.819642590578551, 0.827877113740714, 0.828066669331308, 0.836522462562396, 0.829796253503648"
"51",500,6,5,0.828660442264369,"0.819441334527541, 0.826749252091743, 0.829858640766351, 0.834466594137975, 0.832786389798233"
"52",100,5,17,0.828938786036107,"0.819919817456763, 0.828489038677922, 0.830264998601063, 0.833118680404454, 0.832901395040332"
"53",1000,5,5,0.828084394302002,"0.81945599556437, 0.827073212352618, 0.828407743448313, 0.834497258842101, 0.830987761302608"
"54",100,6,15,0.829308707588072,"0.822048333439959, 0.82901430757827, 0.83018505935489, 0.834705245530953, 0.830590592036288"
"55",750,6,17,0.82800473734428,"0.819148113790971, 0.82786111570314, 0.828198569087494, 0.835105219932591, 0.829710668207202"
