"","nrounds","max_depth","eta","subsample","min_child_weight","gamma","colsample_bylevel","mean_ROC_AUC","fold_ROC_AUC"
"11",1000,3,0.05,0.7,10,0,0.8,0.73969921870297,"0.910344482942431, 0.758170087064677, 0.697418598969438, 0.872384528016153, 0.676314045936396, 0.594978861686017, 0.736437105147933, 0.73617772773712, 0.616818248159963, 0.739863945578231, 0.709455782312925, 0.828027210884354"
"12",100,5,0.1,0.6,10,1,0.7,0.766627725201961,"0.890005330490405, 0.77308657604833, 0.695597903340441, 0.839074331145886, 0.687706650681474, 0.58492948637052, 0.741537707720856, 0.744056629344676, 0.614558495444215, 0.89952380952381, 0.841496598639456, 0.887959183673469"
"13",100,5,0.05,0.8,10,0,0.8,0.757194938727275,"0.87659026297086, 0.777734097370291, 0.694136460554371, 0.820712392730944, 0.685135348308935, 0.56566680338213, 0.742408206667918, 0.752044994891683, 0.62680865703384, 0.856666666666667, 0.793673469387755, 0.894761904761905"
"14",50,3,0.05,0.6,1,0.1,0.7,0.708076799782483,"0.838948116560057, 0.780334932480455, 0.525203780206112, 0.764360644876325, 0.679828685007572, 0.54453953180212, 0.730533767019036, 0.742595442130064, 0.645474656491733, 0.729319727891157, 0.672789115646259, 0.842993197278912"
"15",100,3,0.01,0.8,1,0.1,0.7,0.714336142661856,"0.82688566098081, 0.774736807036247, 0.624917266346837, 0.750559218828874, 0.673140932609793, 0.477362285461888, 0.737339922019975, 0.745037634744897, 0.600999562144242, 0.711836734693878, 0.80469387755102, 0.84452380952381"
"16",500,3,0.1,0.7,5,0.1,0.8,0.749777789453319,"0.912225701847903, 0.748478589196873, 0.639938144100924, 0.875313919737506, 0.67985550227158, 0.566042245078243, 0.736060549196222, 0.718999186839307, 0.64769854673589, 0.803877551020408, 0.805374149659864, 0.863469387755102"
"17",50,5,0.1,0.6,10,0,0.7,0.743062308410412,"0.87299329246624, 0.769013192963753, 0.69349624644634, 0.812949583543665, 0.685902795305401, 0.566514702170621, 0.736698359083422, 0.732679468735014, 0.59343883572069, 0.871360544217687, 0.696190476190476, 0.885510204081633"
"18",500,3,0.1,0.8,5,1,0.7,0.760163636909859,"0.912241249111585, 0.766748845060412, 0.707431036780384, 0.875225580514891, 0.666950088339223, 0.583989304644119, 0.737243593753258, 0.727350972665291, 0.612061883613769, 0.835170068027211, 0.849659863945578, 0.847891156462585"
"19",500,3,0.01,0.7,1,0,0.8,0.724644460170645,"0.861802594171997, 0.776644678393746, 0.612442808280028, 0.797171567390207, 0.683565749621403, 0.535641721352852, 0.740414086445237, 0.747461062112967, 0.556711703258898, 0.744557823129252, 0.760476190476191, 0.878843537414966"
"20",50,3,0.1,0.6,5,0.1,0.7,0.728408180420253,"0.851288757107321, 0.772767857142857, 0.646645122601279, 0.781458228167592, 0.68395538869258, 0.601506499242807, 0.731227038635558, 0.740523758887429, 0.577545922728884, 0.789795918367347, 0.746836734693878, 0.81734693877551"
"21",1000,3,0.01,0.8,5,1,0.6,0.751914538123777,"0.878008395522388, 0.776120513503909, 0.669575115493959, 0.823723813730439, 0.679784515396264, 0.574819377839475, 0.733176122266008, 0.739069243760555, 0.595772189904297, 0.842312925170068, 0.837755102040816, 0.872857142857143"
"22",50,3,0.05,0.6,10,0.1,0.7,0.716092940411435,"0.832897454690832, 0.774225968372424, 0.678322117093106, 0.759260632256436, 0.680995235991923, 0.562162417970722, 0.73370363420279, 0.74260649277538, 0.604961739746878, 0.735544217687075, 0.632789115646259, 0.855646258503401"
"23",50,5,0.1,0.8,1,0,0.6,0.745203170890476,"0.890423996090974, 0.779795220326937, 0.646270877754087, 0.840794579757698, 0.677320482079758, 0.577725107269056, 0.735872271220367, 0.747996080148454, 0.610865286378516, 0.867142857142857, 0.644965986394558, 0.923265306122449"
"24",500,3,0.01,0.6,5,0.1,0.8,0.751591048264319,"0.855327158848614, 0.778649164889836, 0.697073782871358, 0.791039878849066, 0.682373170116103, 0.599705010095911, 0.736806572006422, 0.737639331957215, 0.6361247680407, 0.847142857142857, 0.783605442176871, 0.873605442176871"
"25",1000,5,0.01,0.6,5,0.1,0.7,0.756008525119733,"0.902125533049041, 0.778871268656716, 0.664924817874911, 0.858679328621908, 0.681185323069157, 0.568473939929329, 0.741999541293968, 0.739848210003962, 0.628443318529639, 0.821360544217687, 0.81734693877551, 0.868843537414966"
"26",100,3,0.01,0.8,5,0.1,0.6,0.709185587439865,"0.823308124555792, 0.772800062189055, 0.576961731520967, 0.74895018298839, 0.678463370772337, 0.493787070923776, 0.736807197514647, 0.741684076645608, 0.587465232167803, 0.714285714285714, 0.78530612244898, 0.850408163265306"
"27",500,5,0.1,0.7,10,1,0.6,0.750682341923127,"0.915427327647477, 0.773785092395167, 0.685458866382374, 0.879375946491671, 0.671573700151439, 0.571005016405856, 0.736583474072684, 0.722532474302037, 0.61802443652134, 0.810884353741497, 0.789319727891156, 0.83421768707483"
"28",100,3,0.05,0.6,10,0,0.8,0.734366712321442,"0.850426439232409, 0.77082611496091, 0.701481432125089, 0.784135222110045, 0.689509717314488, 0.569286345280162, 0.741520401993286, 0.746482141740164, 0.585127290923876, 0.833265306122449, 0.703741496598639, 0.836598639455782"
"29",50,3,0.05,0.6,10,1,0.8,0.726446377971633,"0.834672619047619, 0.773645167022033, 0.703621401918977, 0.759091052498738, 0.687194756436143, 0.540591872791519, 0.732923416942933, 0.739515022622547, 0.607359729780447, 0.775952380952381, 0.705646258503401, 0.857142857142857"
"30",100,5,0.05,0.8,1,1,0.8,0.735200531004419,"0.892231920753376, 0.771425239872068, 0.6471526297086, 0.840595027763756, 0.675787165572943, 0.541835720595659, 0.747560934926294, 0.744017430829215, 0.589895540126353, 0.784761904761905, 0.680272108843537, 0.90687074829932"
"31",500,3,0.05,0.8,10,0.1,0.6,0.749654764721073,"0.897959976901208, 0.770807791400142, 0.68966329068941, 0.854101463907118, 0.682338465421504, 0.577337045683998, 0.738578011300849, 0.738508371385084, 0.582549154521382, 0.821020408163265, 0.814557823129252, 0.82843537414966"
"32",1000,3,0.01,0.7,10,0.1,0.7,0.750377238808759,"0.874028296019901, 0.775538601634684, 0.681578158315565, 0.816879101463907, 0.687091431095406, 0.553666077738516, 0.740862367340131, 0.741464523258481, 0.607635995913346, 0.839727891156463, 0.820748299319728, 0.86530612244898"
"33",100,5,0.01,0.7,5,0.1,0.8,0.716684709198846,"0.848657382729211, 0.77622934434968, 0.565301283759773, 0.783562594649167, 0.683422987127713, 0.525759559565876, 0.739883655470069, 0.744554325389379, 0.601892996392903, 0.724557823129252, 0.741292517006803, 0.865102040816326"
"34",50,3,0.1,0.7,1,0.1,0.7,0.718966483137657,"0.856831911869225, 0.769468505685856, 0.581715307391613, 0.792441475265018, 0.679241071428571, 0.537918033821302, 0.741150518129313, 0.73216321594629, 0.57506911865891, 0.796666666666667, 0.695442176870748, 0.869489795918367"
"35",500,3,0.01,0.8,5,1,0.6,0.746531905633741,"0.853468150319829, 0.775827336531628, 0.65614283493248, 0.786562973245835, 0.679932799091368, 0.571256625441696, 0.738496486728801, 0.742393611475991, 0.597363274327057, 0.859727891156463, 0.827142857142857, 0.870068027210884"
"36",500,5,0.05,0.6,10,0,0.6,0.749801403205976,"0.908392190831557, 0.780160581023454, 0.698341440120824, 0.8704300227158, 0.690754353861686, 0.556825782433115, 0.745093721982444, 0.743854381685119, 0.620363003273493, 0.773741496598639, 0.802108843537415, 0.807551020408163"
"37",50,5,0.01,0.6,10,1,0.6,0.705217626314566,"0.834885283404406, 0.764035292288557, 0.613179637526652, 0.766227599697123, 0.684229082534074, 0.55599839096416, 0.73712641521236, 0.738835720689727, 0.608842392777465, 0.657619047619048, 0.65047619047619, 0.851156462585034"
"38",1000,3,0.01,0.6,5,1,0.7,0.756562846733388,"0.878286025230988, 0.778005063965885, 0.685583799751244, 0.82368122160525, 0.685102221100454, 0.579256057546694, 0.737721065032005, 0.736980463293092, 0.638900148036947, 0.855578231292517, 0.814761904761905, 0.864897959183674"
"39",500,5,0.05,0.6,5,1,0.7,0.7516791457947,"0.912925328713575, 0.769398542999289, 0.679049506929638, 0.876818841494195, 0.682395254921757, 0.588489872539122, 0.731383415691916, 0.727335543462396, 0.613033714893351, 0.800204081632653, 0.80312925170068, 0.835986394557823"
"40",1000,5,0.1,0.8,10,1,0.6,0.741494090647386,"0.917702780739161, 0.768192519545131, 0.68860441098081, 0.883160335689046, 0.681682231196366, 0.567964411913175, 0.723939867809262, 0.733314151081087, 0.584116678134317, 0.743877551020408, 0.762721088435374, 0.84265306122449"
