"","num_iterations","num_leaves","learning_rate","subsample","colsample_bytree","mean_ROC_AUC","fold_ROC_AUC"
"21",500,10,0.05,0.7,0.8,0.735682248721506,"0.778884812912693, 0.50224060948913, 0.873136325054434, 0.605463271661477, 0.918686224489796"
"22",1000,20,0.1,0.6,0.8,0.731967912514446,"0.75947175348496, 0.52036055660316, 0.873382354750218, 0.596967942846675, 0.909656954887218"
"23",100,30,0.05,0.6,0.6,0.734202813396173,"0.742641232575202, 0.50994592192817, 0.865505303990192, 0.622632716614765, 0.930288891872538"
"24",500,20,0.01,0.6,0.6,0.738026407393831,"0.756067498165811, 0.514952749420205, 0.868689338303133, 0.620827257739513, 0.929595193340494"
"25",50,40,0.05,0.8,0.8,0.728424801227835,"0.717013939838591, 0.519458352298589, 0.866141393266167, 0.610385052207364, 0.929125268528464"
"26",100,40,0.01,0.8,0.7,0.726376517760251,"0.702105649303008, 0.522953377982964, 0.865924579596757, 0.616204433046346, 0.92469454887218"
"27",500,10,0.05,0.7,0.7,0.729639621347657,"0.754203961848863, 0.498404209203026, 0.871877473111004, 0.605417842095622, 0.918294620479771"
"28",100,40,0.05,0.7,0.6,0.733608738242015,"0.73446074834923, 0.519060081929904, 0.866357181811845, 0.619521524088661, 0.928644155030433"
"29",50,10,0.1,0.7,0.6,0.725253281455742,"0.718723404255319, 0.504874070702473, 0.866135755085639, 0.612677779813153, 0.923855397422127"
"30",500,30,0.1,0.6,0.6,0.731548335127891,"0.772340425531915, 0.514833539241823, 0.871849794770229, 0.592630152042499, 0.90608776405299"
"31",500,20,0.05,0.7,0.8,0.737259395306445,"0.774027879677183, 0.507886837028849, 0.874351096677369, 0.605538010624657, 0.924493152524168"
"32",50,20,0.1,0.7,0.8,0.732994796383656,"0.734541452677916, 0.512389730584997, 0.869412563096366, 0.618285400256457, 0.930344835302542"
"33",1000,30,0.1,0.6,0.8,0.731273107409452,"0.747571533382245, 0.515608405401305, 0.870826721285259, 0.599141234658362, 0.923217642320086"
"34",500,40,0.1,0.8,0.6,0.729541630526296,"0.755553925165077, 0.515575893534473, 0.871934880040021, 0.584043964095988, 0.920599489795918"
"35",1000,40,0.05,0.6,0.6,0.732887601375081,"0.74468085106383, 0.519428549753994, 0.871187564839076, 0.600284301154058, 0.928856740064447"
"36",50,40,0.01,0.8,0.6,0.71345052307427,"0.649236977256053, 0.518621171727681, 0.866015815608944, 0.612079868107712, 0.921298782670963"
"37",500,20,0.05,0.8,0.7,0.734528971621926,"0.770491562729274, 0.507680928538917, 0.870811344429273, 0.595005678695732, 0.928655343716434"
"38",50,30,0.01,0.8,0.8,0.67535409326637,"0.459354365370506, 0.520598976959924, 0.863252594588167, 0.613793002381389, 0.919771527031865"
"39",100,30,0.1,0.6,0.8,0.738102204463374,"0.766925898752751, 0.498507163447992, 0.870184993828755, 0.619983147096538, 0.934909819190834"
"40",500,20,0.05,0.6,0.6,0.736417720781162,"0.779530447542186, 0.511837028848863, 0.871847744522764, 0.60829895585272, 0.910574427139277"
"41",50,20,0.05,0.6,0.8,0.727602205220151,"0.719266324284666, 0.505686867373258, 0.865733906582524, 0.62053709470599, 0.926786833154314"
"42",500,20,0.1,0.8,0.6,0.736017625796383,"0.777094644167278, 0.519786180289139, 0.872561230640538, 0.591702509617146, 0.918943564267812"
"43",1000,20,0.01,0.8,0.8,0.739936684516828,"0.772355099046222, 0.50791934889568, 0.871841593780369, 0.616249129877267, 0.931318250984604"
"44",1000,40,0.05,0.7,0.7,0.735756391638089,"0.765913426265591, 0.513478878123849, 0.875857003440315, 0.600650668620626, 0.922881981740064"
"45",100,20,0.05,0.6,0.7,0.729283765681804,"0.724453411592076, 0.508401608253679, 0.869748291118738, 0.615954570434145, 0.927860947010383"
"46",50,30,0.05,0.7,0.7,0.726185714213804,"0.705752017608217, 0.520184450657823, 0.865825142594711, 0.614629052940099, 0.92453790726817"
"47",100,10,0.01,0.6,0.8,0.696862348873819,"0.584211298606016, 0.506431930988144, 0.860381223013618, 0.607703242352079, 0.925584049409237"
"48",50,20,0.05,0.7,0.6,0.724237031352367,"0.693822450476889, 0.519599237054858, 0.864579104697937, 0.617370947059901, 0.925813417472252"
"49",1000,20,0.05,0.7,0.6,0.734068390163341,"0.769948642699927, 0.518160586947569, 0.870695505447508, 0.604945960798681, 0.906591254923022"
"50",1000,30,0.05,0.7,0.6,0.738263963954998,"0.770388848129127, 0.516692134295685, 0.87038899345151, 0.603527385968126, 0.930322457930541"
"51",500,40,0.01,0.7,0.6,0.738716707562753,"0.759031548055759, 0.518436937815636, 0.867710345138658, 0.618507418941198, 0.929897287862513"
"52",50,40,0.1,0.8,0.6,0.733662146287362,"0.745465884079237, 0.520449964236946, 0.868870785203774, 0.604510716248397, 0.929013381668457"
"53",100,10,0.05,0.7,0.7,0.727966062070035,"0.724666177549523, 0.501094566183324, 0.866649342075589, 0.617422238505221, 0.92999798603652"
"54",50,10,0.05,0.7,0.8,0.715220598721541,"0.69505502567865, 0.497786483733229, 0.863536553862051, 0.597033156255725, 0.922691774078052"
"55",500,30,0.01,0.7,0.8,0.734480326471943,"0.74070432868672, 0.511408955935583, 0.868958945844763, 0.61946290529401, 0.931866496598639"
"56",1000,10,0.1,0.8,0.8,0.724970524671523,"0.746324284666178, 0.507794720072827, 0.871820066181988, 0.585609085913171, 0.913304466523452"
"57",100,20,0.01,0.6,0.8,0.721339928004283,"0.69538517975055, 0.517532024188829, 0.861713883865783, 0.612302619527386, 0.919765932688865"
"58",50,20,0.1,0.8,0.7,0.71304796944013,"0.645436537050624, 0.506602618289009, 0.87165860919413, 0.613211210844477, 0.928330871822413"
"59",50,30,0.1,0.6,0.6,0.735046358312017,"0.74995597945708, 0.510281877885428, 0.868387951925797, 0.616742260487269, 0.929863721804511"
"60",500,10,0.1,0.8,0.8,0.722634524442893,"0.739853264856933, 0.501850467087154, 0.871810840068396, 0.589296208096721, 0.910361842105263"
"61",1000,30,0.05,0.6,0.8,0.734191096817081,"0.770638297872341, 0.518285215770423, 0.870648349755816, 0.591835867374977, 0.919547753311851"
