"","n.trees","max_depth","min_samples_split","mean_ROC_AUC","fold_ROC_AUC"
"65",500,3,5,0.828495968471293,"0.820812807881773, 0.827935773211819, 0.827816193026633, 0.834237275481036, 0.831677792755205"
"66",750,5,20,0.828251949250645,"0.820604887723114, 0.826837241298401, 0.829253767136976, 0.834427929945817, 0.830135920148918"
"67",250,5,17,0.828708497093992,"0.820719510374683, 0.827366509708143, 0.830278321808759, 0.835153216860788, 0.83002492671759"
"68",50,6,20,0.828382453090141,"0.817450099161922, 0.825270766785941, 0.831317532009006, 0.834337269081445, 0.833536598412393"
"69",250,6,10,0.828091738586821,"0.819190764079927, 0.828466374791359, 0.827577707608884, 0.833745306967021, 0.831478539486916"
"70",50,6,5,0.82947069287159,"0.821387253961146, 0.828814332108595, 0.82980268329403, 0.834490592602073, 0.832858602392109"
"71",250,3,20,0.8286054240636,"0.818604322606786, 0.827343845821579, 0.830247678431059, 0.833735974230983, 0.833095299227593"
"72",250,5,15,0.82819221647157,"0.821453895037639, 0.82873700826032, 0.827662976138135, 0.83410395068049, 0.829003252241265"
"73",1000,3,10,0.828124877879344,"0.818806911479325, 0.828149080379473, 0.827804202139707, 0.835142550876744, 0.830721644521471"
"74",750,4,10,0.827961796519394,"0.81965325315079, 0.828415714339041, 0.826655741636356, 0.834353268057511, 0.83073100541327"
"75",100,3,10,0.828382551281347,"0.818721610901414, 0.825870693194968, 0.829730737972474, 0.835439865181962, 0.832149849155915"
"76",750,4,5,0.827918107505807,"0.818818906873094, 0.827446499896013, 0.8280013856136, 0.835206546781006, 0.830117198365321"
"77",250,3,17,0.828611623102122,"0.820075757575758, 0.827538488612064, 0.829165833966186, 0.834935897435897, 0.831342137920705"
"78",50,3,15,0.827657326411167,"0.819573283858998, 0.826273310473915, 0.828330468843679, 0.832525385042024, 0.831584183837217"
"79",500,5,10,0.828300488509488,"0.819200093830636, 0.828781002863649, 0.828379764712152, 0.83397462562396, 0.831166955517042"
"80",250,4,15,0.828351926299246,"0.818669630861749, 0.826974557787578, 0.829812009539417, 0.835382535517727, 0.83092089778976"
"81",750,4,15,0.827849416337541,"0.819198761009106, 0.828129082832506, 0.828246532635197, 0.834601252186527, 0.82907145302437"
"82",250,6,20,0.829942274044999,"0.822209604845073, 0.829224948406329, 0.829907936634824, 0.83559318870259, 0.832775691636177"
"83",50,3,10,0.82879612238889,"0.820975412108417, 0.829223615236531, 0.827429820003464, 0.833546653014207, 0.83280511158183"
"84",1000,4,15,0.828108116119035,"0.818577666176188, 0.828511702564485, 0.828648893507601, 0.835170549084859, 0.829631769262041"
"85",900,5,17,0.827991727144201,"0.819074808606828, 0.827949104909798, 0.827790878932012, 0.834554588506336, 0.830589254766031"
"86",250,3,5,0.828694753561251,"0.819293391337726, 0.828928984711209, 0.82752974406118, 0.835147883868766, 0.832573763827374"
"87",250,6,17,0.828560012872421,"0.818937527989252, 0.828314393434405, 0.828254526559815, 0.836069158240539, 0.831224458138092"
"88",500,3,20,0.828393411970979,"0.81955862282217, 0.827745129930728, 0.827748244667386, 0.835661184350868, 0.831253878083745"
"89",500,3,17,0.828338310119098,"0.819362698057279, 0.828275731510268, 0.829248437853898, 0.835273209181279, 0.829531473992768"
"90",100,4,10,0.828417575876912,"0.81816049303734, 0.828502370375901, 0.828259855842893, 0.83565185161483, 0.831513308513597"
"91",50,4,5,0.827406693691214,"0.818340423943872, 0.826654597036097, 0.827998720972061, 0.834842570075515, 0.829197156428526"
"92",250,4,5,0.829351287196727,"0.820102414006355, 0.830582115260528, 0.828323807239831, 0.835245210973164, 0.832502888503755"
"93",1000,4,20,0.828764726362548,"0.819401349881645, 0.828898321805859, 0.828366441504457, 0.835525193054311, 0.831632325566468"
"94",100,5,10,0.829315263553009,"0.81995580363807, 0.829380929272676, 0.829303063005449, 0.835289208157345, 0.832647313691508"
"95",1000,5,15,0.82797739716983,"0.819014831637984, 0.828067757021805, 0.827802869818938, 0.835185214812919, 0.829816312557503"
"96",1000,5,10,0.828055390967923,"0.81896151877679, 0.828585026903367, 0.827770894120468, 0.834926564699859, 0.830032950339132"
"97",50,5,15,0.827370509704171,"0.816789019683108, 0.824653509169542, 0.827415164474999, 0.834570587482401, 0.833424267710807"
"98",100,4,15,0.828476288910897,"0.819541296142281, 0.828729009241533, 0.828900702133046, 0.835530526046333, 0.829679910991292"
"99",900,5,5,0.827794368171732,"0.818553675388651, 0.826733254054169, 0.827841507121254, 0.835385202013738, 0.830458202280848"
"100",250,5,5,0.828306286496933,"0.818029876527413, 0.826439956698645, 0.829421639553939, 0.834742576475106, 0.832897383229561"
"101",1000,6,15,0.828136959402787,"0.819919817456763, 0.827718466534772, 0.827826851592789, 0.834689246554887, 0.830530414874725"
"102",750,3,15,0.828174177676264,"0.819396018595526, 0.828457042602774, 0.827641659005822, 0.83511721916464, 0.83025894901256"
"103",1000,3,20,0.82847691110776,"0.818853560232871, 0.828994310031303, 0.82847569180756, 0.834626583898631, 0.831434409568436"
"104",250,6,5,0.829366668500371,"0.8211486789073, 0.828551697658421, 0.829764045991713, 0.835487862110158, 0.831881057834264"
"105",750,6,10,0.827903550018281,"0.818187149467938, 0.82837305290551, 0.829444289007021, 0.833374664021503, 0.830138594689432"
"106",1000,6,10,0.827865775067947,"0.819006834708805, 0.827591815403977, 0.829574856442437, 0.834095951192457, 0.829059417592058"
"107",100,3,15,0.828065110951458,"0.818104514533086, 0.828207739850578, 0.829020611002305, 0.835011892572209, 0.82998079679911"
"108",500,5,20,0.828524114698376,"0.819225417439703, 0.828549031318825, 0.829204471268503, 0.835326539101497, 0.830315114363352"
"109",500,4,20,0.828639982513426,"0.820672861621138, 0.828381051924297, 0.828008047217448, 0.83482657109945, 0.831311380704795"
"110",100,5,20,0.828186043272657,"0.817483419700168, 0.827847784005162, 0.829452282931639, 0.83413328213661, 0.832013447589704"
