"","n.trees","interaction.depth","shrinkage","n.minobsinnode","mean_ROC_AUC","fold_ROC_AUC"
"79",1000,3,0.01,5,0.735216733765673,"0.716056338028169, 0.873139322606443, 0.538441619585687, 0.823254839999239, 0.725191548608827"
"80",1000,4,0.005,5,0.725978106788944,"0.621971830985915, 0.869057175852509, 0.572934322033898, 0.820928594544174, 0.744998610528226"
"81",50,4,0.01,5,0.721841953683763,"0.678028169014084, 0.858408691178769, 0.501847928436911, 0.803112447887914, 0.767812531901138"
"82",1000,6,0.005,15,0.72861077994468,"0.622816901408451, 0.870095164097747, 0.593084981167608, 0.818210199691611, 0.738846653357985"
"83",1000,5,0.005,15,0.726959957202825,"0.621971830985915, 0.872840369851601, 0.584863465160075, 0.821073271020921, 0.73405084899561"
"84",500,5,0.005,10,0.742226258984704,"0.706197183098592, 0.858876089394461, 0.577960216572505, 0.821903257124365, 0.746194548733596"
"85",250,4,0.01,20,0.736896509035301,"0.677183098591549, 0.858827528540883, 0.57952565913371, 0.820540252422379, 0.748406006487983"
"86",750,5,0.01,20,0.729077166377794,"0.653521126760563, 0.872521689249993, 0.572245762711864, 0.822051740876816, 0.725045512289736"
"87",250,6,0.01,10,0.745339116804071,"0.707605633802817, 0.863861164519619, 0.591031073446328, 0.820454588719042, 0.743743123532548"
"88",1000,6,0.01,10,0.734361398078382,"0.657464788732394, 0.873075586486121, 0.596027542372881, 0.820365117740001, 0.724873955060513"
"89",750,6,0.005,10,0.735566330506031,"0.649577464788732, 0.865217833366466, 0.59924081920904, 0.821853762540214, 0.741941772625705"
"90",50,6,0.005,10,0.709214409337956,"0.706478873239437, 0.854800771510561, 0.433250941619586, 0.799444137747235, 0.752097322572961"
"91",100,5,0.005,20,0.741588260946769,"0.705633802816901, 0.858190167337666, 0.581756120527307, 0.805094134891778, 0.757267079160192"
"92",50,4,0.01,10,0.741990704529269,"0.684507042253521, 0.857692418588488, 0.606364759887006, 0.803255220726809, 0.758134081190522"
"93",50,5,0.01,10,0.725206387386184,"0.706197183098592, 0.862735918490607, 0.494626883239171, 0.796152747901239, 0.766319204201309"
"94",50,5,0.01,5,0.716349118810335,"0.705633802816901, 0.858966382231584, 0.441684322033898, 0.818771772857932, 0.756689314111362"
"95",100,4,0.005,5,0.740954480264959,"0.678591549295775, 0.863337617816977, 0.599935263653484, 0.805785155432031, 0.757122815126527"
"96",250,3,0.005,10,0.73677583637273,"0.707042253521127, 0.853515426417408, 0.544097222222222, 0.822952161580781, 0.756272118122115"
"97",1000,6,0.01,20,0.732433538204649,"0.653521126760563, 0.873092279279539, 0.589577448210923, 0.822992137975672, 0.722984698796547"
"98",1000,4,0.01,15,0.718628813068387,"0.620845070422535, 0.871514051538241, 0.555732109227872, 0.816782471302659, 0.728270362850629"
"99",250,4,0.005,15,0.731876487857471,"0.676619718309859, 0.856246215667856, 0.558518714689266, 0.816544516571168, 0.751453274049204"
"100",50,5,0.005,20,0.71504254697078,"0.707605633802817, 0.862704050430447, 0.434171963276836, 0.812364127848318, 0.75836695949548"
"101",1000,3,0.005,20,0.743218782652008,"0.704788732394366, 0.866462205239413, 0.584792843691149, 0.817700024747292, 0.742350107187823"
"102",1000,4,0.01,10,0.735648917834304,"0.654366197183099, 0.871802381606363, 0.59590983992467, 0.823825931354819, 0.732340239102571"
"103",500,6,0.01,5,0.723626795345362,"0.621971830985915, 0.870806884108005, 0.566137005649717, 0.821743351544802, 0.73747490443837"
"104",750,5,0.005,5,0.736658118900409,"0.677746478873239, 0.865286122066811, 0.57849870527307, 0.821613904170871, 0.740145384118054"
