"","nrounds","max_depth","eta","subsample","min_child_weight","gamma","colsample_bylevel","mean_ROC_AUC","fold_ROC_AUC"
"55",100,3,0.1,0.6,1,0,0.8,0.811191805281741,"0.774032466375701, 0.795785333449873, 0.751590393047291, 0.913100704717291, 0.82145012881855"
"56",50,5,0.05,0.7,1,0,0.7,0.812944172701721,"0.793522312282889, 0.786627043090639, 0.751561031944879, 0.911187386998685, 0.82182308919151"
"57",1000,5,0.1,0.6,10,0.1,0.6,0.799216036139313,"0.76210994329147, 0.779423127349008, 0.773447287034137, 0.885536088510848, 0.795563734511103"
"58",1000,3,0.05,0.6,10,1,0.6,0.807125225146981,"0.772989593539384, 0.796474084433179, 0.761888799718133, 0.898053552350427, 0.80622009569378"
"59",500,5,0.05,0.6,5,0.1,0.8,0.808511883654477,"0.771941153766218, 0.803200769163535, 0.762833248512371, 0.884549895216962, 0.820034351613299"
"60",50,5,0.05,0.8,5,0.1,0.6,0.815363629394284,"0.779799812950922, 0.784702386155056, 0.778414206858754, 0.909577118261013, 0.824324622745675"
"61",100,3,0.1,0.8,1,0.1,0.7,0.807839198147023,"0.776249962887088, 0.785135914692772, 0.751066786720952, 0.910049669214333, 0.816693657219973"
"62",50,3,0.01,0.8,1,0,0.6,0.809304893941162,"0.781131238680562, 0.766275675203216, 0.759547251800814, 0.909424309664694, 0.830145994356521"
"63",50,3,0.05,0.8,10,0,0.6,0.813289941411358,"0.784975208574567, 0.782295253911371, 0.759454274976511, 0.910691722140039, 0.8290332474543"
"64",500,3,0.01,0.7,5,0.1,0.7,0.812524784097957,"0.780948457587364, 0.786950441394983, 0.757616759317256, 0.913116113987508, 0.823992148202675"
"65",50,3,0.01,0.6,10,0.1,0.6,0.811125678102397,"0.786060761260058, 0.759601433441133, 0.776566904165362, 0.907471184664694, 0.825928106980739"
"66",100,5,0.01,0.6,5,0.1,0.6,0.813592494239209,"0.786979305840088, 0.777769425749497, 0.765372983870968, 0.91025641025641, 0.827584345479082"
"67",50,5,0.05,0.8,1,0.1,0.6,0.810669754731372,"0.785852001128233, 0.779178393497072, 0.75078051597244, 0.911139875082183, 0.826397987976935"
"68",500,5,0.05,0.7,10,0.1,0.8,0.806761453349614,"0.77083518897895, 0.789576086006468, 0.769057802223614, 0.89075212647929, 0.813586063059747"
"69",50,3,0.1,0.7,1,0,0.6,0.812086007516508,"0.781254639114041, 0.781401975351805, 0.758725140933292, 0.912629437869823, 0.826418844313581"
