"","n.trees","max_depth","min_samples_split","mean_ROC_AUC","fold_ROC_AUC"
"17",900,6,15,0.803619261457975,"0.807696661322407, 0.779108469539376, 0.731676225336674, 0.888883752465483, 0.810731198625935"
"18",50,4,10,0.805515007754086,"0.80248786407767, 0.780667773795997, 0.734049581114939, 0.892110710470085, 0.818259109311741"
"19",50,6,15,0.803176664367238,"0.799410275823164, 0.7922943798619, 0.729894985123708, 0.88809916379027, 0.806184517237149"
"20",500,6,15,0.805585062796701,"0.80846675425314, 0.783085394633336, 0.735502955684309, 0.88905325443787, 0.81181695497485"
"21",500,6,20,0.805662180453672,"0.808260777589739, 0.78306616554497, 0.737144730660821, 0.888108152531229, 0.811731075941602"
"22",750,5,17,0.804241298571677,"0.807504602001128, 0.785198846254698, 0.732645141716254, 0.888350848537147, 0.80750705434916"
"23",750,3,20,0.804284277785773,"0.80724852290609, 0.782814439297264, 0.734193939868462, 0.888873479618672, 0.808291007238376"
"24",900,5,15,0.804818341163075,"0.807618724206526, 0.781872213967311, 0.733567569683683, 0.889902048405654, 0.811131149552202"
"25",50,5,5,0.803725692053443,"0.800777886642321, 0.777916266060659, 0.731935581741309, 0.888047799556213, 0.819950926266716"
"26",500,3,10,0.804006816923723,"0.80722347169027, 0.783286426011712, 0.731786329470717, 0.886902377136752, 0.810835480309165"
"27",50,6,17,0.804648413064789,"0.805241642172145, 0.776876147189931, 0.737465256028813, 0.893239439513478, 0.81041958041958"
"28",500,6,17,0.804473280654987,"0.807634497194264, 0.78197360370597, 0.733963944566239, 0.8901254828238, 0.808668874984664"
"29",50,5,20,0.806616631074135,"0.802072199459636, 0.786634035486409, 0.741260178515503, 0.89150589661407, 0.811610845295056"
"30",900,4,20,0.802818850732221,"0.807686455271518, 0.779898610261341, 0.730775818196054, 0.886190982495069, 0.809542387437124"
"31",900,4,10,0.804367391075974,"0.808574381698881, 0.782574949742155, 0.733584696993423, 0.88820831278764, 0.808894614157772"
"32",500,5,15,0.805523038434619,"0.808474176835605, 0.782809195000437, 0.734847224397119, 0.889019867685733, 0.812464728254202"
"33",100,6,5,0.806845045859756,"0.811595372762091, 0.786553622935058, 0.738138114625744, 0.892218575361604, 0.80571954361428"
"34",900,6,5,0.803853425116026,"0.809001180190612, 0.779400402062757, 0.733709481678672, 0.886621157955293, 0.810534903692798"
"35",500,3,15,0.805807703166774,"0.809295300020783, 0.783389563849314, 0.735111474318822, 0.888728375657462, 0.812513801987486"
"36",500,6,10,0.80543475805426,"0.809690552537039, 0.784469888995717, 0.732674502818666, 0.888885036571335, 0.811453809348546"
"37",1000,6,17,0.804618877639406,"0.80868293696743, 0.779370684380736, 0.735666888506107, 0.88807219756739, 0.811301680775365"
"38",1000,5,17,0.803949475675513,"0.807478622962501, 0.779886373568744, 0.733910115878484, 0.888459997534517, 0.810012268433321"
"39",100,6,17,0.806134429134337,"0.805249992577418, 0.77939515776593, 0.740663169433135, 0.889073800131492, 0.81629002576371"
"40",750,4,17,0.803941603466589,"0.808413868353077, 0.781199195874486, 0.733254384591293, 0.887937366452991, 0.808903202061097"
"41",250,4,10,0.806796910772697,"0.808754379323654, 0.781066340354864, 0.735368383964923, 0.890727728468113, 0.818067721751932"
"42",750,3,17,0.803503522961942,"0.808639329295448, 0.778874224281094, 0.73347459285938, 0.887233676446417, 0.809295791927371"
"43",900,3,10,0.8043812227901,"0.809402927466524, 0.779529761384494, 0.735417319135609, 0.888136402859961, 0.809419703103914"
"44",100,4,17,0.805307436015147,"0.804681237196045, 0.78669347085045, 0.735270513623552, 0.888135118754109, 0.811756839651577"
"45",900,4,15,0.805132724121937,"0.808281189691517, 0.783401800541911, 0.736878033980582, 0.888833672337278, 0.808268924058398"
"46",250,5,20,0.805758161729283,"0.809182105638194, 0.778680185298488, 0.738676401503288, 0.889944423898751, 0.812307692307692"
"47",100,6,20,0.804367143151419,"0.806199155310116, 0.778923171051482, 0.73642049013467, 0.891376201923077, 0.80891669733775"
"48",1000,3,15,0.803261036666045,"0.806946980493453, 0.77982519010576, 0.734047134356405, 0.886666101660092, 0.808819776714514"
"49",900,4,5,0.804316326879357,"0.809067983432796, 0.783429770124989, 0.734321171312246, 0.887478940664037, 0.807283768862716"
