"","nrounds","max_depth","eta","subsample","min_child_weight","gamma","colsample_bylevel","mean_ROC_AUC","fold_ROC_AUC"
"20",50,3,0.1,0.6,5,0.1,0.7,0.736091392293436,"0.851307635927505, 0.77105210554371, 0.650693519012082, 0.788265080767289, 0.683195040383645, 0.56433146138314, 0.738964366881425, 0.742561247680407, 0.614426930214132, 0.843265306122449, 0.713469387755102, 0.87156462585034"
"21",1000,3,0.01,0.8,5,1,0.6,0.752371086590551,"0.877345415778252, 0.774414756574272, 0.664065276297086, 0.823256877839475, 0.679304959616355, 0.567412291771832, 0.732067304685057, 0.739405350180355, 0.611112779133046, 0.86312925170068, 0.831972789115646, 0.864965986394558"
"22",50,3,0.05,0.6,10,0.1,0.7,0.719590539152611,"0.833744225302061, 0.77294776119403, 0.687717661691542, 0.756477946744069, 0.691755268803635, 0.571034199899041, 0.728604074143575, 0.739127833031004, 0.602997226913534, 0.715612244897959, 0.694183673469388, 0.840884353741497"
"23",50,5,0.1,0.8,1,0,0.6,0.743624492558117,"0.890762704335466, 0.773247601279318, 0.690217994847193, 0.841047766279657, 0.671726716304897, 0.544671251892983, 0.746966285106649, 0.746093284126686, 0.567399762306874, 0.806462585034014, 0.732448979591837, 0.912448979591837"
"24",500,3,0.01,0.6,5,0.1,0.8,0.75366607915352,"0.856473214285714, 0.776113850390903, 0.697301439232409, 0.791008329126704, 0.684209363957597, 0.584776470217062, 0.739506265507391, 0.740449531911345, 0.623814349158691, 0.849591836734694, 0.82108843537415, 0.879659863945578"
"25",1000,5,0.01,0.6,5,0.1,0.7,0.763944016762082,"0.902475346481876, 0.782462686567164, 0.692316875444208, 0.859157306915699, 0.69233026249369, 0.574439203685008, 0.738706448989804, 0.742927795500511, 0.631968057379955, 0.829319727891156, 0.843401360544218, 0.877823129251701"
"26",100,3,0.01,0.8,5,0.1,0.6,0.707510875882488,"0.825108275586354, 0.77191275764037, 0.602002820717839, 0.747564361433619, 0.674070860676426, 0.478480723119637, 0.732033944246367, 0.743293509309647, 0.593214278267759, 0.778639455782313, 0.701428571428571, 0.842380952380952"
"27",500,5,0.1,0.7,10,1,0.6,0.745811194227727,"0.915630552594172, 0.765898187633262, 0.695377465351812, 0.878869573447754, 0.691601463907118, 0.572300132508834, 0.740699318196034, 0.734152332103167, 0.616701903630033, 0.780952380952381, 0.719183673469388, 0.838367346938776"
"28",100,3,0.05,0.6,10,0,0.8,0.745733345742808,"0.85015658315565, 0.771797263681592, 0.699450293176972, 0.783400113579001, 0.682690244825846, 0.554797135285209, 0.746524884802235, 0.736188361376952, 0.611618398281937, 0.878367346938775, 0.791904761904762, 0.841904761904762"
"29",50,3,0.05,0.6,10,1,0.8,0.721603464129201,"0.832547085998579, 0.7738539445629, 0.686991937633262, 0.75779593639576, 0.676683177688036, 0.533393014891469, 0.735807426867663, 0.739098851149893, 0.594362711369654, 0.738163265306123, 0.72, 0.870544217687075"
