"","nrounds","max_depth","eta","subsample","min_child_weight","gamma","colsample_bylevel","mean_ROC_AUC","fold_ROC_AUC"
"87",50,3,0.05,0.6,5,0.1,0.6,0.854392342087399,"0.845455345147463, 0.857521477365443, 0.853175586554219, 0.86149419770468, 0.85431510366519"
"88",100,3,0.1,0.8,5,0,0.6,0.858759692323978,"0.852559283901648, 0.862982140857388, 0.857076621767457, 0.865272622552157, 0.855907792541241"
"89",1000,3,0.01,0.6,5,0,0.7,0.858517678766595,"0.851142494615401, 0.863051465686876, 0.857123252994391, 0.865328618968386, 0.855942561567923"
"90",50,5,0.01,0.6,1,0.1,0.6,0.860212801205044,"0.854126682020771, 0.861915605019118, 0.855018186178504, 0.866665866717863, 0.863337666088966"
"91",50,5,0.01,0.7,10,0,0.6,0.857184946358364,"0.848847375940972, 0.859495901836041, 0.855882862357941, 0.867272494560348, 0.854426097096519"
"92",100,5,0.05,0.6,5,0.1,0.6,0.85730965978493,"0.848719425074105, 0.861995595206988, 0.856371824080366, 0.862358142412219, 0.857103312150972"
"93",500,5,0.05,0.7,10,0,0.6,0.842298477235316,"0.8308862730045, 0.841974051183055, 0.845209640673088, 0.849849609624984, 0.843572811690951"
"94",500,3,0.05,0.7,5,0,0.7,0.850913637393692,"0.841106348495511, 0.854508513622329, 0.851479542214584, 0.859824971201843, 0.847648811434196"
"95",50,3,0.01,0.6,5,0,0.7,0.852150728390345,"0.842535133175527, 0.855835017571178, 0.84933717041715, 0.858894364094031, 0.85415195669384"
"96",1000,3,0.01,0.7,1,0.1,0.8,0.858712314517633,"0.8501562066833, 0.862011593244562, 0.85827704278082, 0.866176564699859, 0.856940165179622"
"97",100,5,0.01,0.7,5,0.1,0.8,0.858698102656157,"0.852635254728851, 0.86037846024221, 0.856485071345777, 0.866036573659286, 0.857955153304662"
"98",50,3,0.01,0.7,1,0,0.8,0.852402572904471,"0.841362250229245, 0.858660004372797, 0.84912799605633, 0.859503658432527, 0.853358955431457"
"99",1000,5,0.05,0.6,10,1,0.7,0.830322348677376,"0.814297976243789, 0.828279731019662, 0.835382442676899, 0.839418277230257, 0.834233316216274"
"100",100,5,0.1,0.8,5,0.1,0.7,0.852303190165956,"0.841890047555072, 0.853673949328882, 0.854749057383056, 0.859558321600751, 0.851644574962022"
"101",50,3,0.1,0.8,10,1,0.6,0.85746987066408,"0.850322809374534, 0.859569226174923, 0.856731550688144, 0.866151232987755, 0.854574534095042"
"102",500,5,0.1,0.8,10,1,0.7,0.830608391470693,"0.814903077218348, 0.831455341478112, 0.836045938420134, 0.836687785315073, 0.833949814921796"
"103",500,3,0.05,0.7,10,0.1,0.6,0.852037547604505,"0.842679077900753, 0.854289873775483, 0.852270940751695, 0.860766244293699, 0.850181601300896"
"104",1000,5,0.01,0.6,10,0,0.8,0.853267955967163,"0.842836350841277, 0.855649706969278, 0.853360779141186, 0.861211549127523, 0.853281393756553"
"105",1000,5,0.05,0.8,1,0,0.6,0.819725363999443,"0.802307913761116, 0.812969609061288, 0.828078660218234, 0.831941422415632, 0.823329214540942"
"106",100,5,0.1,0.7,5,0,0.8,0.850599721685883,"0.840610538886401, 0.854716488110792, 0.853374102348882, 0.856817163701523, 0.847480315381817"
"107",1000,3,0.1,0.6,5,0,0.6,0.830298670624975,"0.813562258759303, 0.828741007769714, 0.834668318744421, 0.840876850548232, 0.833644917303207"
"108",500,5,0.05,0.6,1,0.1,0.7,0.831358481668603,"0.817648689569872, 0.827274520992092, 0.836283091517114, 0.840919514484406, 0.834666591779532"
"109",50,3,0.01,0.6,1,1,0.6,0.853087667205838,"0.842633761968737, 0.85710419521872, 0.851019891549089, 0.858443726268186, 0.856236761024456"
"110",100,5,0.01,0.8,1,1,0.7,0.860181092366869,"0.85144637792421, 0.861659636417933, 0.85677152031123, 0.869753669098511, 0.861274258082461"
"111",100,5,0.05,0.8,10,1,0.7,0.858392923755381,"0.851206470048835, 0.860334465638882, 0.859998401215077, 0.864688659925765, 0.855736621948349"
"112",1000,5,0.1,0.8,10,1,0.7,0.820407160669864,"0.804104557183375, 0.815587954544243, 0.827138041754933, 0.830565510473996, 0.824639739392772"
"113",500,3,0.05,0.8,10,0.1,0.8,0.85255593459382,"0.843494764677031, 0.855729697157149, 0.853294163102709, 0.859694312897308, 0.850566735134904"
"114",100,5,0.05,0.8,10,1,0.8,0.857707596185131,"0.849023308382914, 0.860510444052196, 0.858290365988515, 0.865664597465762, 0.855049265036267"
"115",50,5,0.05,0.8,10,0,0.8,0.859080996485768,"0.852216748768473, 0.859831860625097, 0.857761434643005, 0.868311094756602, 0.857283843635663"
"116",1000,5,0.05,0.7,1,0,0.7,0.819614753131012,"0.800700530996098, 0.815355982999419, 0.827361871644217, 0.831978753359785, 0.822676626655541"
"117",500,5,0.05,0.7,5,1,0.8,0.836266785847731,"0.822812040176572, 0.834628285596967, 0.840796994284344, 0.844335295874397, 0.838761313306374"
"118",500,3,0.1,0.6,10,0.1,0.6,0.843134191430161,"0.828479197321562, 0.844304431989676, 0.84514568927615, 0.852564102564103, 0.845177535999315"
"119",100,5,0.01,0.7,1,0,0.8,0.861096208119646,"0.854090695839464, 0.861643638380359, 0.857600223829889, 0.869112376807884, 0.863034105740634"
"120",100,3,0.1,0.7,10,1,0.8,0.858426269310526,"0.852099460473845, 0.861790287058121, 0.856100030643378, 0.865829920218439, 0.856311648158846"
