"","iteration","n.trees","interaction.depth","shrinkage","n.minobsinnode","mean_ROC_AUC","fold_ROC_AUC"
"105",105,100,5,0.005,10,0.714797726065487,"0.826661336176262, 0.769150342039801, 0.619781671997157, 0.753532780161535, 0.674174186017163, 0.550181410903584, 0.736573465941077, 0.733076666458164, 0.603216363295177, 0.751224489795918, 0.711224489795918, 0.848775510204082"
"106",106,500,6,0.01,15,0.736380808162303,"0.872583511016347, 0.780749156005686, 0.58909414978678, 0.817516405855628, 0.684655792529026, 0.541175542655225, 0.739145972769542, 0.741512061883614, 0.648708534017222, 0.752517006802721, 0.800544217687075, 0.868367346938775"
"107",107,1000,3,0.005,10,0.733533028484106,"0.848411958066809, 0.775327603056148, 0.661291200248756, 0.784242491166078, 0.684247223624432, 0.537342251388188, 0.73675569733742, 0.736936677717312, 0.632875252809574, 0.78421768707483, 0.759863945578231, 0.860884353741497"
"108",108,500,6,0.005,20,0.721646710406543,"0.852396499644634, 0.773915023098792, 0.541079202203269, 0.789131120646138, 0.681071744068652, 0.516163711509339, 0.737798628051959, 0.739275244469465, 0.598657242342737, 0.763401360544218, 0.797482993197279, 0.869387755102041"
"109",109,750,3,0.005,15,0.725444259177084,"0.841608919687278, 0.776129397654584, 0.63170808901919, 0.773856322564361, 0.681134843513377, 0.550129353861686, 0.736099747711682, 0.737055941285628, 0.64937720231021, 0.734421768707483, 0.730680272108844, 0.86312925170068"
"110",110,1000,6,0.005,5,0.740637569615465,"0.875114383439943, 0.780042866027008, 0.629419309701493, 0.821832407874811, 0.687324899040888, 0.522644813225644, 0.740587560726424, 0.736518421217239, 0.633553929234169, 0.778367346938776, 0.802517006802721, 0.879727891156463"
"111",111,750,5,0.005,20,0.716343961827563,"0.856885216773276, 0.777346526297086, 0.489633306680881, 0.794832155477032, 0.684340295305401, 0.530742049469965, 0.738415379162236, 0.737898709368028, 0.60290465169617, 0.757687074829932, 0.752176870748299, 0.873265306122449"
"112",112,100,3,0.005,20,0.704566469140222,"0.816584488272921, 0.758342772743426, 0.609268945451315, 0.741718986622918, 0.672061143361938, 0.543366670873296, 0.731303142136319, 0.741994328725423, 0.595871437209399, 0.673299319727891, 0.719115646258503, 0.85187074829932"
"113",113,1000,3,0.005,15,0.727840355379871,"0.847987739872068, 0.773648498578536, 0.561080756929638, 0.783426930843009, 0.682903205451792, 0.571764575971731, 0.737206063259732, 0.733389629073622, 0.651520401993286, 0.769387755102041, 0.747278911564626, 0.874489795918367"
"114",114,50,4,0.01,20,0.70116979983914,"0.821800595238095, 0.769449626865672, 0.570656205579247, 0.746658095658758, 0.670874085058051, 0.505777542907622, 0.735528241696378, 0.741010195784075, 0.58265715894164, 0.653367346938776, 0.777244897959184, 0.839013605442177"
"115",115,50,3,0.01,15,0.69654446470648,"0.816689432302772, 0.772228144989339, 0.616121401918977, 0.741965074457345, 0.669553729177183, 0.510015459363958, 0.727522361919059, 0.738626800942432, 0.653770355080169, 0.602142857142857, 0.675510204081633, 0.834387755102041"
"116",116,500,4,0.01,10,0.73622931657582,"0.858137882018479, 0.777480899076048, 0.670556258884151, 0.79801709994952, 0.683469522968198, 0.553419989904089, 0.74022101290632, 0.730766664581639, 0.645403557056775, 0.792176870748299, 0.710544217687075, 0.874557823129252"
"117",117,250,3,0.01,5,0.694189937291458,"0.833999644633973, 0.777538646055437, 0.482214485607676, 0.761185954063604, 0.68013235108531, 0.476556978798587, 0.732569379287338, 0.733966764662955, 0.570074226976085, 0.68891156462585, 0.720136054421769, 0.872993197278912"
"118",118,1000,5,0.01,5,0.733395321615977,"0.888753775764037, 0.772081556503198, 0.621811700426439, 0.84044043412418, 0.679084111559818, 0.526035619636547, 0.738480015012197, 0.732179896165635, 0.635958382852735, 0.763265306122449, 0.770816326530612, 0.831836734693878"
"119",119,750,3,0.005,5,0.697255099812229,"0.843897699004975, 0.775671863894812, 0.46672941098081, 0.774181284704695, 0.684313478041393, 0.495621687279152, 0.734042242655491, 0.73514730718709, 0.600585475699005, 0.685238095238095, 0.704353741496599, 0.867278911564626"
"120",120,500,6,0.005,10,0.728156829709906,"0.854273276474769, 0.77672907782516, 0.615718838841507, 0.792385474507824, 0.684687342251388, 0.556776091620394, 0.736265715894164, 0.740034611455141, 0.617065949417235, 0.70843537414966, 0.782176870748299, 0.873333333333333"
