"","iteration","n.trees","interaction.depth","shrinkage","n.minobsinnode","mean_ROC_AUC","fold_ROC_AUC"
"11",11,1000,5,0.01,10,0.745899554634658,"0.886534959132907, 0.776696872778962, 0.658858053482587, 0.838679959616355, 0.680633202927814, 0.580607174406865, 0.733119409520235, 0.731418444152541, 0.638600321094222, 0.806054421768707, 0.749523809523809, 0.870068027210884"
"12",12,50,6,0.01,10,0.728778877384159,"0.831698649609097, 0.773503575870647, 0.626932858031272, 0.759836414689551, 0.675936238011105, 0.527993279909137, 0.733346260503326, 0.737842205124997, 0.61937949584037, 0.846632653061224, 0.764013605442177, 0.848231292517007"
"13",13,50,5,0.01,20,0.706178050738447,"0.826486429459844, 0.757665356254442, 0.620831112295665, 0.752726684755174, 0.667962045683998, 0.531996150933872, 0.734577052188236, 0.741796251120702, 0.591081920727258, 0.717619047619048, 0.680170068027211, 0.851224489795918"
"14",14,100,6,0.01,10,0.719631292245665,"0.836715973702914, 0.772530206112296, 0.614048063255153, 0.769138061585058, 0.675427498738011, 0.602582344775366, 0.73606951481412, 0.735037217739413, 0.619128667041972, 0.682448979591837, 0.705510204081633, 0.886938775510204"
"15",15,750,5,0.01,15,0.741692017699047,"0.879495380241649, 0.779088930348259, 0.655285514392324, 0.826088465421504, 0.686690749621403, 0.543991355376073, 0.73389128667042, 0.734383353141094, 0.646355163570401, 0.762448979591837, 0.785850340136054, 0.866734693877551"
"16",16,250,3,0.005,15,0.707842958184332,"0.82479177771855, 0.76918032604833, 0.641163046375267, 0.749541740282685, 0.677219522968198, 0.607124716052499, 0.73281374450074, 0.734580596734847, 0.652802068347199, 0.602517006802721, 0.649591836734694, 0.852789115646258"
"17",17,1000,6,0.005,10,0.743319680994926,"0.874520255863539, 0.778736895877754, 0.664148009950249, 0.82032117617365, 0.686056600201918, 0.553655035335689, 0.740144283897333, 0.738890348408082, 0.643363566230896, 0.783061224489796, 0.748979591836735, 0.887959183673469"
"18",18,100,3,0.01,5,0.700278954451298,"0.819813877043355, 0.771530183901919, 0.632311656005686, 0.74617775113579, 0.671845816506815, 0.490229050984351, 0.730621129667855, 0.735480703071245, 0.612990346323054, 0.654625850340136, 0.697244897959184, 0.84047619047619"
"19",19,50,4,0.005,5,0.716383866680074,"0.819455179459844, 0.764845971037669, 0.654526474769012, 0.748898914689551, 0.677986181221605, 0.519789563351842, 0.727299889493547, 0.740866120389483, 0.568720418673506, 0.769761904761905, 0.760102040816326, 0.844353741496599"
"20",20,250,6,0.01,20,0.710932602253162,"0.852003375977257, 0.774036069651741, 0.501449227078891, 0.789839411913175, 0.682840106007067, 0.516644844775366, 0.741002481182628, 0.742139238130981, 0.606814703613353, 0.742789115646258, 0.718503401360544, 0.86312925170068"
"21",21,500,4,0.01,20,0.729587030877878,"0.856626465884861, 0.773885039090263, 0.604865738272921, 0.797218891973751, 0.68345059313478, 0.511489620141343, 0.739284835595588, 0.735088092408415, 0.547692917161861, 0.84156462585034, 0.789931972789116, 0.873945578231292"
"22",22,100,6,0.005,20,0.689064288828771,"0.83137882018479, 0.763242937100213, 0.587203491471215, 0.760203180212014, 0.676711572438163, 0.519313951287229, 0.737012989720815, 0.73901795208607, 0.574618544233857, 0.614013605442177, 0.634285714285714, 0.831768707482993"
"23",23,1000,3,0.01,10,0.738141276222619,"0.868782205046198, 0.777684124022743, 0.669550128820185, 0.812539437152953, 0.684247223624432, 0.553100548965169, 0.739025458184775, 0.729847167490252, 0.635504055378328, 0.782517006802721, 0.772721088435374, 0.832176870748299"
