"","num_iterations","num_leaves","learning_rate","subsample","colsample_bytree","ROC_AUC_valid"
"85",500,10,0.01,0.6,0.8,0.738278780487414
"86",100,20,0.01,0.6,0.8,0.741553791810911
"87",500,30,0.01,0.6,0.8,0.771699100682291
"88",100,40,0.01,0.6,0.8,0.74850593863385
"89",100,10,0.05,0.6,0.8,0.741350529043369
"90",1000,10,0.05,0.6,0.8,0.767600234952553
"91",50,20,0.05,0.6,0.8,0.77630932431935
"92",100,20,0.05,0.6,0.8,0.777455278189905
"93",1000,30,0.05,0.6,0.8,0.760977389817976
"94",1000,20,0.1,0.6,0.8,0.770367089357193
"95",100,30,0.1,0.6,0.8,0.756973753495079
"96",1000,30,0.1,0.6,0.8,0.758102902176192
"97",500,40,0.1,0.6,0.8,0.771283772428926
"98",1000,10,0.01,0.7,0.8,0.750430532948575
"99",100,20,0.01,0.7,0.8,0.741553791810911
"100",500,30,0.01,0.7,0.8,0.771699100682291
"101",1000,30,0.01,0.7,0.8,0.776409355208889
"102",50,10,0.05,0.7,0.8,0.745216122738702
"103",100,10,0.05,0.7,0.8,0.741350529043369
"104",500,10,0.05,0.7,0.8,0.768190017077273
"105",500,20,0.05,0.7,0.8,0.769379984539226
"106",100,30,0.05,0.7,0.8,0.751497262354615
"107",50,20,0.1,0.7,0.8,0.758312166797107
"108",100,20,0.1,0.7,0.8,0.756984956954708
"109",50,10,0.01,0.8,0.8,0.724538137376822
"110",1000,20,0.01,0.8,0.8,0.767973150108754
"111",50,30,0.01,0.8,0.8,0.742939019569243
"112",100,30,0.01,0.8,0.8,0.74418220346443
"113",50,40,0.05,0.8,0.8,0.745514214789527
"114",500,40,0.05,0.8,0.8,0.761971296736432
"115",100,10,0.1,0.8,0.8,0.750296091433035
"116",500,10,0.1,0.8,0.8,0.767036060735555
"117",1000,10,0.1,0.8,0.8,0.764502478365319
"118",100,30,0.1,0.8,0.8,0.756973753495079
"119",500,30,0.1,0.8,0.8,0.756204716016306
"120",100,40,0.1,0.8,0.8,0.770668382396484
