"","nrounds","max_depth","eta","subsample","min_child_weight","gamma","colsample_bylevel","mean_ROC_AUC","fold_ROC_AUC"
"45",100,3,0.05,0.8,5,0,0.6,0.858209621218823,"0.852003497323694, 0.862095582941826, 0.85506082044313, 0.864262020564017, 0.857626184821448"
"46",500,5,0.05,0.7,10,0.1,0.7,0.840087118497436,"0.826637237967287, 0.839752990299857, 0.844554138854471, 0.847951064465208, 0.841540160900357"
"47",500,3,0.05,0.6,10,1,0.7,0.85181243702858,"0.842132621073508, 0.854967124032785, 0.851820616331588, 0.860206280131405, 0.849935543573614"
"48",1000,3,0.01,0.8,10,0.1,0.7,0.858802216405765,"0.852835177958331, 0.862435541240275, 0.857341753600597, 0.865643265497675, 0.855755343731947"
"49",50,5,0.05,0.6,5,1,0.6,0.859843813223192,"0.852696564519225, 0.861964932301638, 0.856371824080366, 0.869913658859166, 0.858272086355564"
"50",500,5,0.05,0.7,10,1,0.7,0.841401809140927,"0.828319258737978, 0.839161062909616, 0.843373702652651, 0.850108259738043, 0.846046761666346"
"51",500,3,0.05,0.7,5,0,0.6,0.852507962734749,"0.841839400336937, 0.855873679495315, 0.852649319850247, 0.861891505610308, 0.85028590838094"
"52",1000,5,0.05,0.6,10,0,0.8,0.829121731543895,"0.812959823427804, 0.830076843907147, 0.833994164435029, 0.836813110627586, 0.831764715321908"
"53",100,5,0.1,0.6,10,0,0.6,0.852426537824995,"0.842985626852622, 0.856329623566176, 0.855364589578587, 0.858785037757584, 0.848667811370007"
"54",50,3,0.01,0.6,1,0.1,0.6,0.852789392629139,"0.843863956240804, 0.856420279112429, 0.849149313188643, 0.859744976321515, 0.854768438282303"
"55",100,3,0.1,0.6,1,0,0.8,0.85722851615394,"0.84867144349903, 0.860739749257424, 0.855742968677139, 0.865083301335381, 0.855905118000727"
"56",50,5,0.05,0.7,1,0,0.7,0.859536418076489,"0.851934190604141, 0.861475658985831, 0.859121734148714, 0.866689865181962, 0.858460641461797"
"57",1000,5,0.1,0.6,10,0.1,0.6,0.819149244036091,"0.803691382509117, 0.812700308762125, 0.824657260482034, 0.829618904390119, 0.825078364037058"
"58",1000,3,0.05,0.6,10,1,0.6,0.843880854446936,"0.834978035101188, 0.846184201404628, 0.844258363643631, 0.851756154272793, 0.84222751781244"
"59",500,5,0.05,0.6,5,0.1,0.8,0.836734265098567,"0.822172285842237, 0.837054654629032, 0.840855616398204, 0.845207240069969, 0.838381528553395"
"60",50,5,0.05,0.8,5,0.1,0.6,0.859678465874322,"0.850798626660696, 0.863707385227412, 0.859290938886446, 0.86674319510218, 0.857852183494876"
"61",100,3,0.1,0.8,1,0.1,0.7,0.858629461772728,"0.852264730343548, 0.862340886184628, 0.858871257844039, 0.863123426767354, 0.856547007724073"
"62",50,3,0.01,0.8,1,0,0.6,0.851256039915547,"0.842057983067835, 0.855412402745263, 0.847926242722198, 0.857691774393106, 0.853191796649336"
"63",50,3,0.05,0.8,10,0,0.6,0.854032454257681,"0.843834634167146, 0.855895010212081, 0.852851832607219, 0.86162352276121, 0.855957271540749"
