"","num_iterations","num_leaves","learning_rate","subsample","colsample_bytree","mean_ROC_AUC","fold_ROC_AUC"
"24",500,20,0.01,0.6,0.6,0.856540127856134,"0.847546542127823, 0.858739994560667, 0.857101935862078, 0.86308342932719, 0.856228737402914"
"25",50,40,0.05,0.8,0.8,0.854501866613891,"0.844217153946218, 0.854084565626616, 0.85635850087267, 0.863110094287299, 0.85473901833665"
"26",100,40,0.01,0.8,0.7,0.858524127173157,"0.849183246966498, 0.861333009817462, 0.858151804628482, 0.864829984214344, 0.859122590238997"
"27",500,10,0.05,0.7,0.7,0.843583387049312,"0.831725950568315, 0.841950054126694, 0.846054332040982, 0.84957762703187, 0.8486089714787"
"28",100,40,0.05,0.7,0.6,0.844567977673556,"0.831531358624955, 0.842619305365209, 0.848372570179997, 0.851865480609241, 0.848451173588378"
"29",50,10,0.1,0.7,0.6,0.861269445450362,"0.853714840168042, 0.862683510822672, 0.85857281799166, 0.868277763556466, 0.863098294712968"
"30",500,30,0.1,0.6,0.6,0.815144906381563,"0.795737103618877, 0.807407624664708, 0.82339954967558, 0.831205469516618, 0.817974784432035"
"31",500,20,0.05,0.7,0.8,0.828087220566933,"0.811781609195402, 0.822331127381708, 0.835129301730685, 0.840180895089381, 0.831013169437491"
"32",50,20,0.1,0.7,0.8,0.855457989319297,"0.849455142558591, 0.855712365949777, 0.857027325898983, 0.862852777422245, 0.852242334766887"
"33",1000,30,0.1,0.6,0.8,0.812679099382327,"0.79332469664982, 0.805218559856658, 0.820407157227174, 0.828954946883399, 0.815490136294585"
"34",500,40,0.1,0.8,0.6,0.813254565431196,"0.793871153477065, 0.807274307684924, 0.820503084322581, 0.828067003711762, 0.816557277959646"
"35",1000,40,0.05,0.6,0.6,0.813304344540702,"0.7933193653637, 0.806117116300401, 0.821209214330442, 0.828933614915312, 0.816942411793654"
"36",50,40,0.01,0.8,0.6,0.859027795592024,"0.849889642377327, 0.862867488254774, 0.857828050681482, 0.866341887452536, 0.858211909194"
"37",500,20,0.05,0.8,0.7,0.82802160190816,"0.811331115518308, 0.822789737792164, 0.835843425663163, 0.839042301292717, 0.831101429274451"
"38",50,30,0.01,0.8,0.8,0.858692206832131,"0.853123067408782, 0.861759624152771, 0.85455986783378, 0.864705992149836, 0.859312482615487"
"39",100,30,0.1,0.6,0.8,0.8370740495465,"0.822249589490969, 0.833452429835274, 0.843600197183474, 0.84610584922565, 0.839962181997133"
"40",500,20,0.05,0.6,0.6,0.827610243915057,"0.811240483654277, 0.823602971368845, 0.834233982173548, 0.837658389863049, 0.831315392515566"
"41",50,20,0.05,0.6,0.8,0.860827644581424,"0.85194352035485, 0.864068674242626, 0.859941111421986, 0.86930169802466, 0.858883218862999"
"42",500,20,0.1,0.8,0.6,0.817004466413097,"0.799055829228243, 0.809759336188094, 0.824713217954355, 0.831133474124323, 0.820360474570469"
"43",1000,20,0.01,0.8,0.8,0.845895121036845,"0.833895784018937, 0.845408296582286, 0.848409875161544, 0.854278659499125, 0.847482989922331"
"44",1000,40,0.05,0.7,0.7,0.813016024200206,"0.793076791845265, 0.806303760072098, 0.820340541188697, 0.829202931012415, 0.816156096882556"
"45",100,20,0.05,0.6,0.7,0.855279527352338,"0.84708272023543, 0.855564384102217, 0.856976697709741, 0.863147425231452, 0.853626409482851"
"46",50,30,0.05,0.7,0.7,0.857263054568823,"0.846612234235387, 0.85929326002677, 0.85730444861905, 0.865965911514996, 0.857139418447911"
"47",100,10,0.01,0.6,0.8,0.855243284208209,"0.845276747062461, 0.858388037734038, 0.852000479635477, 0.863302082000085, 0.857249074608982"
"48",50,20,0.05,0.7,0.6,0.860874197595998,"0.853429616360651, 0.862682177652875, 0.858775330748631, 0.867820459490593, 0.86166340372724"
"49",1000,20,0.05,0.7,0.6,0.816898679093261,"0.797834964706886, 0.811191160550972, 0.823404878958658, 0.830656171338368, 0.821406219911419"
"50",1000,30,0.05,0.7,0.6,0.814720365349141,"0.795827735482908, 0.807191651157458, 0.821494330975126, 0.83072016724263, 0.818367941887584"
"51",500,40,0.01,0.7,0.6,0.845536155729876,"0.832792207792208, 0.844917690096681, 0.849936714763446, 0.853302721959128, 0.846731444037914"
"52",50,40,0.1,0.8,0.6,0.84353463597661,"0.828681786194101, 0.841216810737883, 0.85092796141599, 0.849588293015914, 0.84725832851916"
"53",100,10,0.05,0.7,0.7,0.860868107329153,"0.855788710468513, 0.863398089834314, 0.858594135123972, 0.867261828576304, 0.85929777264266"
"54",50,10,0.05,0.7,0.8,0.859785482011714,"0.853005779114154, 0.861511654570373, 0.856017426755666, 0.869627010537992, 0.858765539080386"
"55",500,30,0.01,0.7,0.8,0.850352778766168,"0.839021815622801, 0.850285031702778, 0.853864396392075, 0.857750437305346, 0.85084221280784"
"56",1000,10,0.1,0.8,0.8,0.817814035336844,"0.799122470304736, 0.811924403939783, 0.82499300531596, 0.831634775374376, 0.821395521749363"
"57",100,20,0.01,0.6,0.8,0.860148664212593,"0.852159437442689, 0.864711262085184, 0.856274564664188, 0.867461815777124, 0.86013624109378"
"58",50,20,0.1,0.8,0.7,0.856421935196966,"0.845015514042608, 0.859658548551378, 0.857484311922939, 0.863110094287299, 0.856841207180606"
"59",50,30,0.1,0.6,0.6,0.849842367279987,"0.837467745718977, 0.848935863867366, 0.853744487522816, 0.857627778488843, 0.851435960801934"
"60",500,10,0.1,0.8,0.8,0.829071358766251,"0.813586249546841, 0.824530857548141, 0.835345137695352, 0.839375613294083, 0.832518935746839"
"61",1000,30,0.05,0.6,0.8,0.814228664470004,"0.794860107052225, 0.807978221338183, 0.820726914211866, 0.830360190281155, 0.81721788946659"
"62",500,40,0.05,0.7,0.7,0.816347681887309,"0.797520418825838, 0.810105960335532, 0.823682001678724, 0.83095215239558, 0.819477876200869"
"63",1000,40,0.01,0.6,0.6,0.832692501964719,"0.817502079201587, 0.828295729057236, 0.838870458451577, 0.84312737318145, 0.835666869931746"
"64",1000,10,0.05,0.8,0.6,0.830646587563938,"0.815505512549847, 0.826709256997808, 0.836847995523402, 0.83951160459064, 0.83465856815799"
"65",100,40,0.1,0.7,0.6,0.831725404923663,"0.815604141343058, 0.826706590658213, 0.839099617623939, 0.84121816203763, 0.835998512955474"
"66",100,20,0.05,0.8,0.7,0.855279527352338,"0.84708272023543, 0.855564384102217, 0.856976697709741, 0.863147425231452, 0.853626409482851"
"67",500,30,0.1,0.7,0.7,0.814039298553273,"0.794100398780202, 0.807412957343899, 0.821907350413686, 0.829450915141431, 0.817324871087147"
"68",100,20,0.1,0.7,0.6,0.845240870387707,"0.833034781310643, 0.844267103235336, 0.849163968717108, 0.85290274755749, 0.846835751117958"
