"","n.trees","interaction.depth","shrinkage","n.minobsinnode","mean_ROC_AUC","fold_ROC_AUC"
"30",100,4,0.01,5,0.851601420338922,"0.840867773441665, 0.855980333079142, 0.849890083536512, 0.858953027006272, 0.85231588463102"
"31",50,5,0.005,15,0.850496537732765,"0.843778655662892, 0.855505724631112, 0.847908922552194, 0.85648918469218, 0.848800201125447"
"32",1000,3,0.01,20,0.857872517980228,"0.852123451261382, 0.860811740426508, 0.854935582290792, 0.865776590298221, 0.855715225624238"
"33",500,3,0.01,20,0.85601360598391,"0.847333290683044, 0.859358585346864, 0.854168165527532, 0.863040765391015, 0.856167222971094"
"34",100,3,0.01,10,0.847867728208996,"0.840567888597445, 0.849833087141311, 0.845830502151698, 0.851989472673749, 0.851117690480775"
"35",750,6,0.005,5,0.858590290298744,"0.849902970592626, 0.861710296870251, 0.856720892121987, 0.866128567771663, 0.858488724137193"
"36",750,4,0.005,20,0.85637187087849,"0.847709146354467, 0.859283927838185, 0.854189482659845, 0.863766052305986, 0.856910745233969"
"37",750,3,0.005,10,0.854727062189762,"0.84638698739684, 0.857652128005631, 0.853128955327285, 0.861936836042493, 0.854530404176562"
"38",250,5,0.01,15,0.856483269454749,"0.846408312541317, 0.860931725708313, 0.853861731750536, 0.863700723153718, 0.857513854119862"
"39",1000,4,0.005,20,0.857535148262884,"0.85025483547651, 0.861083707065267, 0.855497821655542, 0.864840650198387, 0.855998726918715"
"40",500,4,0.01,5,0.857737676520529,"0.850638688077112, 0.860222479375863, 0.8557403040356, 0.866216562140023, 0.855870348974046"
"41",250,6,0.005,10,0.855356845577105,"0.84618706416736, 0.858821317918335, 0.852753240870272, 0.861546194376893, 0.857476410552667"
"42",100,4,0.01,20,0.851405184587389,"0.843029609963107, 0.855128437578324, 0.849780833233409, 0.856995818934255, 0.852091223227849"
"43",250,6,0.005,20,0.854725877048586,"0.84350276160621, 0.859335921460301, 0.851559481460756, 0.862875442638338, 0.856355778077326"
"44",250,5,0.005,10,0.853867943915423,"0.844620998869767, 0.857390826725255, 0.851187763966052, 0.86132087546397, 0.854819254552068"
"45",250,6,0.01,15,0.857541803093142,"0.848324909901265, 0.860739749257424, 0.855471175240151, 0.86519529416784, 0.857977886899031"
"46",50,3,0.005,15,0.843728133290967,"0.835273921480818, 0.847573364333975, 0.84172428953995, 0.849594959255941, 0.844474131844149"
"47",1000,4,0.01,20,0.857535797706432,"0.850281491907108, 0.861107704121628, 0.855012856895426, 0.866080570843466, 0.855196364764533"
"48",100,5,0.01,5,0.852586638664401,"0.844589011153051, 0.85592034043824, 0.849835458384961, 0.858203741627202, 0.854384641718553"
"49",250,6,0.005,5,0.854995711747685,"0.846477619260871, 0.858981298294076, 0.852245626657074, 0.861360872904134, 0.855913141622269"
"50",750,5,0.01,5,0.858216893295444,"0.850577378286738, 0.86225956282696, 0.856755532461996, 0.865717927385981, 0.855774065515544"
"51",100,5,0.01,20,0.853566226639742,"0.842039323566417, 0.858044079926196, 0.851336983892242, 0.859386332608046, 0.857024413205811"
"52",1000,4,0.005,10,0.857622407990316,"0.850446761776811, 0.860433120203922, 0.855258003917023, 0.866357886428602, 0.855616267625222"
"53",500,5,0.005,5,0.856691719350015,"0.847226664960655, 0.859011961199426, 0.855745633318678, 0.864478006740902, 0.856996330530415"
"54",100,6,0.005,15,0.853186959114894,"0.84220592625765, 0.857866768343083, 0.850622859959764, 0.858518388156491, 0.856720852857479"
"55",500,6,0.01,10,0.858877943042296,"0.850566715714499, 0.861848946529226, 0.857858694059182, 0.866723196382098, 0.857392162526478"
"56",1000,3,0.005,5,0.855515548466997,"0.84777845307402, 0.858846648144494, 0.852979735401095, 0.862856777166261, 0.855116128549115"
"57",100,5,0.01,10,0.853325610716938,"0.841306271724991, 0.858754659428443, 0.848890842959351, 0.861444867528478, 0.856231411943428"
"58",500,5,0.01,15,0.858348423677455,"0.850241507261212, 0.861435663891896, 0.855615065883262, 0.867541810657451, 0.856908070693455"
