"","nrounds","max_depth","eta","subsample","min_child_weight","gamma","colsample_bylevel","ROC_AUC_valid"
"35",500,5,0.05,0.6,5,1,0.6,0.694489058221179
"36",100,5,0.1,0.6,5,1,0.6,0.701066889455464
"37",500,3,0.01,0.8,5,1,0.6,0.697341038912816
"38",1000,3,0.01,0.8,5,1,0.6,0.71017290139195
"39",1000,5,0.01,0.8,5,1,0.6,0.703567261570373
"40",500,5,0.05,0.8,5,1,0.6,0.701446206588595
"41",50,5,0.01,0.6,10,1,0.6,0.690589554054292
"42",1000,3,0.05,0.6,10,1,0.6,0.699916734287548
"43",100,3,0.1,0.6,10,1,0.6,0.696414152690351
"44",500,5,0.1,0.7,10,1,0.6,0.689086189815415
"45",50,3,0.1,0.8,10,1,0.6,0.699412978727831
"46",1000,5,0.1,0.8,10,1,0.6,0.696545493248315
"47",50,5,0.05,0.7,1,0,0.7,0.69904666561034
"48",1000,5,0.05,0.7,1,0,0.7,0.698327043390999
"49",50,3,0.01,0.6,5,0,0.7,0.69783469135269
"50",1000,3,0.01,0.6,5,0,0.7,0.707392442786332
"51",500,5,0.1,0.6,5,0,0.7,0.669013591397023
"52",1000,5,0.01,0.7,5,0,0.7,0.701273153149693
"53",500,3,0.05,0.7,5,0,0.7,0.711144001267591
"54",50,5,0.1,0.6,10,0,0.7,0.69510884961276
"55",1000,5,0.1,0.7,10,0,0.7,0.676700365072734
"56",500,3,0.05,0.8,10,0,0.7,0.69663762169758
"57",50,3,0.05,0.6,1,0.1,0.7,0.688335958143875
"58",100,5,0.05,0.6,1,0.1,0.7,0.695699131891928
"59",500,5,0.05,0.6,1,0.1,0.7,0.688494106980235
"60",50,3,0.1,0.7,1,0.1,0.7,0.692714410209873
"61",100,5,0.1,0.7,1,0.1,0.7,0.688285842668216
"62",100,3,0.01,0.8,1,0.1,0.7,0.688659057917085
"63",100,3,0.1,0.8,1,0.1,0.7,0.691341686312733
"64",1000,5,0.01,0.6,5,0.1,0.7,0.707053738194354
"65",50,3,0.1,0.6,5,0.1,0.7,0.691589062702562
"66",500,3,0.01,0.7,5,0.1,0.7,0.702186435171181
"67",100,5,0.1,0.8,5,0.1,0.7,0.704934283706809
"68",50,3,0.05,0.6,10,0.1,0.7,0.697173887296397
"69",1000,3,0.01,0.7,10,0.1,0.7,0.704197856298025
"70",100,3,0.05,0.7,10,0.1,0.7,0.6961822810884
"71",500,5,0.05,0.7,10,0.1,0.7,0.701870937745576
"72",1000,3,0.01,0.8,10,0.1,0.7,0.702896254363347
"73",100,5,0.01,0.8,1,1,0.7,0.68968367431863
"74",100,5,0.05,0.8,1,1,0.7,0.701091296992511
"75",1000,3,0.01,0.6,5,1,0.7,0.703904165606339
"76",500,5,0.05,0.6,5,1,0.7,0.691816733007153
"77",500,5,0.01,0.7,5,1,0.7,0.698051758382989
"78",500,3,0.1,0.8,5,1,0.7,0.686882509318878
"79",500,3,0.05,0.6,10,1,0.7,0.706518973058881
"80",1000,5,0.05,0.6,10,1,0.7,0.683569286195577
"81",100,5,0.1,0.6,10,1,0.7,0.694559980121862
"82",50,3,0.01,0.7,10,1,0.7,0.6896791729286
"83",500,5,0.05,0.7,10,1,0.7,0.695072438368968
"84",100,5,0.05,0.8,10,1,0.7,0.703696401448767
"85",500,5,0.1,0.8,10,1,0.7,0.681892768486909
"86",1000,5,0.1,0.8,10,1,0.7,0.680044897864461
"87",100,3,0.1,0.6,1,0,0.8,0.710452987882658
"88",50,3,0.01,0.7,1,0,0.8,0.694637303999475
"89",500,3,0.01,0.7,1,0,0.8,0.69892322749265
"90",100,5,0.01,0.7,1,0,0.8,0.687102077121415
"91",50,3,0.1,0.7,1,0,0.8,0.692309985323468
"92",500,5,0.01,0.6,5,0,0.8,0.700283247466818
"93",100,5,0.1,0.7,5,0,0.8,0.699044164838102
"94",500,3,0.05,0.8,5,0,0.8,0.710488498848444
"95",1000,5,0.01,0.6,10,0,0.8,0.696078749117728
"96",100,3,0.05,0.6,10,0,0.8,0.691068902076961
"97",1000,3,0.05,0.6,10,0,0.8,0.693789442179745
"98",1000,5,0.05,0.6,10,0,0.8,0.687966644099698
"99",50,5,0.1,0.6,10,0,0.8,0.696016329842655
"100",1000,3,0.05,0.7,10,0,0.8,0.694258386989902
"101",50,5,0.05,0.8,10,0,0.8,0.692451429001276
"102",100,5,0.05,0.8,10,0,0.8,0.696420954790839
"103",1000,3,0.01,0.7,1,0.1,0.8,0.704852658500945
"104",500,5,0.1,0.7,1,0.1,0.8,0.672307208465974
"105",500,3,0.01,0.6,5,0.1,0.8,0.701741897898071
"106",500,5,0.05,0.6,5,0.1,0.8,0.699843111552848
"107",100,5,0.01,0.7,5,0.1,0.8,0.69047081738841
"108",500,3,0.1,0.7,5,0.1,0.8,0.699854114950697
"109",500,5,0.05,0.7,10,0.1,0.8,0.701979871384284
"110",500,3,0.05,0.8,10,0.1,0.8,0.704260675696655
"111",100,5,0.05,0.8,1,1,0.8,0.692887563679664
"112",500,5,0.1,0.8,1,1,0.8,0.699120888530378
"113",500,5,0.05,0.7,5,1,0.8,0.700744990052928
"114",100,3,0.1,0.7,5,1,0.8,0.706775652321437
"115",50,3,0.05,0.6,10,1,0.8,0.6961736784319
"116",100,3,0.1,0.7,10,1,0.8,0.702676486499031
"117",100,5,0.05,0.8,10,1,0.8,0.703971386364109
"118",100,3,0.1,0.8,10,1,0.8,0.702124916174115
