"","n.trees","interaction.depth","shrinkage","n.minobsinnode","mean_ROC_AUC","fold_ROC_AUC"
"16",250,3,0.005,15,0.708513921312641,"0.650205429200293, 0.49818746342415, 0.857905549199788, 0.615363986078036, 0.920907178660938"
"17",1000,6,0.005,10,0.728944010048106,"0.733162142333089, 0.512070030561155, 0.867372054306955, 0.610856200769372, 0.921259622269961"
"18",100,3,0.01,5,0.703219956256102,"0.641878209831255, 0.488520601686282, 0.855088509183058, 0.609403187396959, 0.921209273182957"
"19",50,4,0.005,5,0.706793315508521,"0.619354365370506, 0.515044866376227, 0.851926002468498, 0.636317274226049, 0.911324069101325"
"20",250,6,0.01,20,0.720097803252121,"0.714049889948643, 0.505583913128292, 0.863199800715946, 0.598006960981865, 0.919648451485857"
"21",500,4,0.01,20,0.726381263687801,"0.740212765957447, 0.505600169061708, 0.86663294009587, 0.602407766990291, 0.917052676333691"
"22",100,6,0.005,20,0.707481518553139,"0.667600880410858, 0.486139107440883, 0.858414523132942, 0.603243817549002, 0.922009264232009"
"23",1000,3,0.01,10,0.726536213655231,"0.733132795304475, 0.502836660381039, 0.867076818672014, 0.610489833302803, 0.919144960615825"
"24",250,4,0.01,10,0.718459052199269,"0.712758620689655, 0.504240089299261, 0.861968114551426, 0.595514929474263, 0.91781350698174"
"25",1000,5,0.01,20,0.73192033978885,"0.745370506236244, 0.508417864187095, 0.870785716335962, 0.612570800512914, 0.922456811672037"
"26",50,4,0.005,15,0.72465590790084,"0.664512105649303, 0.558816676420227, 0.852186896458403, 0.62556438908225, 0.922199471894021"
"27",250,6,0.005,15,0.713950916938464,"0.70527512839325, 0.496003749701975, 0.859073165131031, 0.588327532515113, 0.921075008950949"
"28",500,3,0.01,10,0.721743992604186,"0.726162876008804, 0.499777835576652, 0.865181364890742, 0.602201135739146, 0.915396750805585"
"29",750,6,0.01,15,0.73007289630679,"0.735436537050624, 0.513885276459241, 0.871060449496254, 0.60933797398791, 0.920644244539921"
"30",100,4,0.01,5,0.710504140613986,"0.668187820983125, 0.499225133840518, 0.858434000483858, 0.602057519692251, 0.924616228070175"
"31",50,5,0.005,15,0.708795542357152,"0.67520909757887, 0.494800810629213, 0.85197315816019, 0.600169994504488, 0.921824650912997"
"32",1000,3,0.01,20,0.727965477220978,"0.734336023477623, 0.506239569109392, 0.870261878108688, 0.60947572815534, 0.919514187253849"
"33",500,3,0.01,20,0.723638777211422,"0.728774761555393, 0.498631792270846, 0.864730310448471, 0.610884044696831, 0.915172977085571"
"34",100,3,0.01,10,0.707478310294317,"0.643426265590609, 0.499054446539654, 0.856020859217708, 0.615347865909507, 0.923542114214107"
"35",750,6,0.005,5,0.726058106734191,"0.73496698459281, 0.505405097860719, 0.865633444456746, 0.603651950906759, 0.920633055853921"
"36",750,4,0.005,20,0.719741877078121,"0.716170212765957, 0.500793831415133, 0.864532461568111, 0.600507052573731, 0.916705827067669"
"37",750,3,0.005,10,0.718499009192736,"0.713925165077036, 0.501368207729154, 0.861604708188278, 0.600770837149661, 0.914826127819549"
"38",250,5,0.01,15,0.719481522666894,"0.713712399119589, 0.503779504519149, 0.862344847523096, 0.59885107162484, 0.918719790547798"
"39",1000,4,0.005,20,0.726994946693659,"0.738063096111519, 0.505172096148428, 0.866545804578613, 0.60870049459608, 0.916493242033656"
"40",500,4,0.01,5,0.729049251631929,"0.739391049156273, 0.505616424995123, 0.867220335994555, 0.613962996885877, 0.91905545112782"
"41",250,6,0.005,10,0.713318086294954,"0.689156272927366, 0.499794091510068, 0.859825093388772, 0.595895218904561, 0.921919754744003"
"42",100,4,0.01,20,0.707304243643346,"0.665752017608217, 0.49808721850142, 0.857577509605409, 0.589167979483422, 0.92593649301826"
"43",250,6,0.005,20,0.709804666467817,"0.668994864269993, 0.504383683377766, 0.858868652946411, 0.593021432496794, 0.92375469924812"
"44",250,5,0.005,10,0.707724913630054,"0.662039618488628, 0.498396081236318, 0.858079307672436, 0.59576186114673, 0.924347699606158"
"45",250,6,0.01,15,0.720402094822647,"0.719097578870139, 0.513400307779006, 0.863281810614541, 0.587443854185748, 0.918786922663802"
"46",50,3,0.005,15,0.715757428658733,"0.660674981658107, 0.51392591629278, 0.853081316914952, 0.636424253526287, 0.914680674901539"
"47",1000,4,0.01,20,0.729896451832623,"0.741834189288335, 0.50988631683898, 0.870642199013421, 0.602693533614215, 0.924426020408163"
"48",100,5,0.01,5,0.702739863731275,"0.643785766691123, 0.498434011747621, 0.858590331853055, 0.589660377358491, 0.923228831006087"
"49",250,6,0.005,5,0.711874984119752,"0.688026412325752, 0.501682489108525, 0.860879945709447, 0.588885876534164, 0.919900196920874"
"50",750,5,0.01,5,0.725381215002935,"0.720146735143067, 0.51062867113163, 0.869578120579154, 0.604856567136838, 0.921695981023989"
"51",100,5,0.01,20,0.709554517716201,"0.6693396918562, 0.496301775147929, 0.858654402086332, 0.598659095072358, 0.924817624418188"
"52",1000,4,0.005,10,0.721663250373042,"0.718048422597212, 0.498452977003273, 0.865970710164717, 0.607997069060267, 0.917847073039742"
"53",500,5,0.005,5,0.713082338008824,"0.688686720469552, 0.501075600927672, 0.862551922517048, 0.592307748671918, 0.92078969745793"
"54",100,6,0.005,15,0.701644403368571,"0.65545121056493, 0.492904285064048, 0.857282273970468, 0.588384685839897, 0.914199561403509"
"55",500,6,0.01,10,0.729668842538067,"0.741540719002201, 0.518854173439972, 0.86752992336175, 0.599271661476461, 0.921147735409953"
"56",1000,3,0.005,5,0.723642601969112,"0.730608950843727, 0.496919500617725, 0.864214673211057, 0.610614398241436, 0.915855486931615"
"57",100,5,0.01,10,0.704609840592184,"0.643712399119589, 0.501701454364176, 0.857737428907669, 0.594112474812237, 0.92578544575725"
"58",500,5,0.01,15,0.726000898810806,"0.736067498165811, 0.507512950560288, 0.868037359609305, 0.599443121450815, 0.918943564267812"
"59",250,5,0.01,5,0.716947251395069,"0.704262655906089, 0.501809827253614, 0.862194154334428, 0.597705074189412, 0.918764545291801"
"60",500,5,0.01,20,0.728523568834257,"0.74428466617755, 0.513652274746949, 0.866769281552283, 0.599728888074739, 0.918182733619764"
"61",100,6,0.01,20,0.711303692876789,"0.678283198826119, 0.500699005136875, 0.857983458603453, 0.595820479941381, 0.923732321876119"
"62",250,5,0.01,20,0.719567218003272,"0.718892149669846, 0.503167197693825, 0.862027059166041, 0.594862062648837, 0.918887620837809"
"63",500,3,0.005,5,0.708142516420771,"0.680337490829054, 0.490522790818649, 0.858973215567119, 0.594341088111376, 0.916537996777658"
"64",50,5,0.005,5,0.709525068624754,"0.664886280264123, 0.498011357478813, 0.854732278686037, 0.6128756182451, 0.917119808449696"
"65",100,4,0.005,20,0.70805393978057,"0.66991195891416, 0.490484860307346, 0.855137202560349, 0.602586554313977, 0.922149122807017"
"66",50,5,0.01,15,0.707057304886345,"0.666148202494497, 0.494638251295056, 0.858220774747512, 0.591282652500458, 0.9249966433942"
"67",50,6,0.005,15,0.714405875751172,"0.675663976522377, 0.492684829962936, 0.857136193838596, 0.617430298589485, 0.929114079842463"
"68",50,3,0.01,5,0.713122652434949,"0.63567131327953, 0.513885276459241, 0.857246907201699, 0.639994870855468, 0.918814894378804"
"69",500,3,0.005,10,0.711524873375993,"0.688026412325752, 0.498179335457442, 0.860125454642375, 0.593132808206631, 0.918160356247762"
"70",500,6,0.005,5,0.720422238781337,"0.710601614086574, 0.506104102997594, 0.862451460391269, 0.603294376259388, 0.919659640171858"
"71",750,5,0.01,10,0.733082062175593,"0.746045487894351, 0.517114788564493, 0.868737519118558, 0.61345008243268, 0.920062432867884"
"72",50,6,0.005,20,0.70748846137148,"0.671188554658841, 0.493998851247372, 0.857235630840642, 0.594196006594614, 0.920823263515933"
"73",100,5,0.005,15,0.707691005703322,"0.673323550990462, 0.490446929796042, 0.856023422027039, 0.593535812419857, 0.925125313283208"
"74",750,3,0.01,15,0.725045632451425,"0.726338958180484, 0.501785443353491, 0.867060416692295, 0.612699761861147, 0.91734358216971"
"75",250,5,0.01,10,0.721564887407891,"0.733727072633896, 0.502416715434467, 0.86278462560431, 0.589885326982964, 0.919010696383817"
"76",750,4,0.01,5,0.725034791616414,"0.726074834922964, 0.505616424995123, 0.870009697670509, 0.603511265799597, 0.919961734693878"
