"","n.trees","max_depth","min_samples_split","mean_ROC_AUC","fold_ROC_AUC"
"29",50,5,20,0.730437450099034,"0.898758995202559, 0.775188788201848, 0.646688988095238, 0.854945418980313, 0.688039500252398, 0.477947532811711, 0.736090990596526, 0.739931194095202, 0.679324659619274, 0.790918367346939, 0.725816326530612, 0.751598639455782"
"30",900,4,20,0.745217705171327,"0.903080023987207, 0.784576003909026, 0.70884361673774, 0.862092219838465, 0.694967030540131, 0.583968008581525, 0.745333500135527, 0.743586664164634, 0.618512332937178, 0.747925170068027, 0.72421768707483, 0.825510204081633"
"31",900,4,10,0.74861512747488,"0.903135549928927, 0.782467683901919, 0.702174395877754, 0.862830483341747, 0.690714916708733, 0.576745488389702, 0.744289318404537, 0.746902483267655, 0.614189237088468, 0.795986394557823, 0.72530612244898, 0.838639455782313"
"32",500,5,15,0.744321941265442,"0.902817941542289, 0.778415400675195, 0.693025386460554, 0.862445576728925, 0.689682452044422, 0.569680716809692, 0.744703821855257, 0.744010758741477, 0.610584641688038, 0.749251700680272, 0.741700680272109, 0.845544217687075"
"33",100,6,5,0.742136439201379,"0.901448671819474, 0.77720882196162, 0.702460909737029, 0.861833512115093, 0.679900460625946, 0.595135032811711, 0.737931027293009, 0.74436563040804, 0.577019870311295, 0.67421768707483, 0.826836734693878, 0.827278911564626"
"34",900,6,5,0.744213176064833,"0.90336098525231, 0.780926283759773, 0.689328469260839, 0.862326476527007, 0.690497223624432, 0.562942484856133, 0.742698025479035, 0.745366860574217, 0.635900419090511, 0.755918367346939, 0.739489795918367, 0.821802721088435"
"35",500,3,15,0.747787995772407,"0.902533648720682, 0.784804770788913, 0.703171086531628, 0.861595311711257, 0.69432104997476, 0.577960152700656, 0.744886678759826, 0.743022247242551, 0.64544671712433, 0.744013605442177, 0.733979591836735, 0.837721088435374"
"36",500,6,10,0.746016276098954,"0.903164978678038, 0.781630352700782, 0.696029895167022, 0.861787765017668, 0.691334080010096, 0.57569724886421, 0.743063322282688, 0.74672921748921, 0.630241446175017, 0.773061224489796, 0.71156462585034, 0.837891156462585"
"37",1000,6,17,0.7516690081725,"0.902996735074627, 0.783841950959488, 0.704690831556503, 0.862871497980818, 0.690560323069157, 0.576501766784452, 0.746149788369717, 0.748796105168783, 0.651680323596255, 0.747244897959184, 0.764285714285714, 0.840408163265306"
"38",1000,5,17,0.746082569517092,"0.903172752309879, 0.780599235963042, 0.697299773454158, 0.86252523977789, 0.692294769056032, 0.581352536597678, 0.74568274222806, 0.742558745647505, 0.620090073184462, 0.770986394557823, 0.734931972789116, 0.821496598639456"
