"","n.trees","max_depth","min_samples_split","mean_ROC_AUC","fold_ROC_AUC"
"11",50,5,17,0.742733128890532,"0.899581889658849, 0.771815031982942, 0.70976368159204, 0.857758865471984, 0.687650649924281, 0.606795021453811, 0.741770188277976, 0.744777214820375, 0.507816976293238, 0.758639455782313, 0.756666666666667, 0.869761904761905"
"12",100,5,15,0.744909542369601,"0.90152474235963, 0.779302705223881, 0.693389636638237, 0.861428098182736, 0.686999936900555, 0.550944914184755, 0.73739121369446, 0.73526594524718, 0.598381601718063, 0.805544217687075, 0.762448979591837, 0.826292517006803"
"13",750,6,5,0.738643737614993,"0.902925106609808, 0.783158981876333, 0.694340240760483, 0.862174249116608, 0.693096920747097, 0.559128123422514, 0.745821396551365, 0.74686391026042, 0.638732928838014, 0.685578231292517, 0.717380952380952, 0.83452380952381"
"14",1000,3,5,0.747879961619589,"0.903268812189055, 0.780733608742004, 0.705133373312011, 0.8627523977789, 0.691148725391217, 0.577871813478041, 0.742839598840725, 0.74590604866454, 0.633714684848106, 0.72234693877551, 0.769897959183673, 0.838945578231293"
"15",1000,4,10,0.745673505761943,"0.903168865493959, 0.780292732764748, 0.706129508706468, 0.86257571933367, 0.691449236496719, 0.577184818273599, 0.744395446300119, 0.744082692187402, 0.620775838702279, 0.748605442176871, 0.731122448979592, 0.838299319727891"
"16",100,4,5,0.741442373517741,"0.903569762793177, 0.790466751066098, 0.659320584577115, 0.859903457849571, 0.684087108783443, 0.619455136294801, 0.746976918746482, 0.739532119847376, 0.648792560622172, 0.721020408163265, 0.719727891156463, 0.804455782312925"
"17",900,6,15,0.743882462016937,"0.902945651208244, 0.782909115138593, 0.70079901830135, 0.863242207218576, 0.692852410398789, 0.571573700151439, 0.74406288442693, 0.747731490169096, 0.617683951543963, 0.781190476190476, 0.696802721088435, 0.824795918367347"
"18",50,4,10,0.741297957488977,"0.898401408137882, 0.77551750177683, 0.644857742537313, 0.85620819661787, 0.6872476022211, 0.593790225896012, 0.736286357665603, 0.744985300556702, 0.693859385750923, 0.662414965986395, 0.795102040816326, 0.806904761904762"
"19",50,6,15,0.726382421003638,"0.900039978678038, 0.781658670931059, 0.633429393212509, 0.857035588086825, 0.691353009843513, 0.580977094901565, 0.74748795896666, 0.725891661975355, 0.64606263422364, 0.64108843537415, 0.674489795918367, 0.837074829931973"
"20",500,6,15,0.736799846685094,"0.903055037313433, 0.782322205934613, 0.693022054904051, 0.862914090106007, 0.688501703685008, 0.590611591367996, 0.743311649048185, 0.748910364671295, 0.594969871353808, 0.71078231292517, 0.699047619047619, 0.824149659863946"
"21",500,6,20,0.744168827434799,"0.903188854832978, 0.783917466240227, 0.702324315920398, 0.861893456587582, 0.687857300605755, 0.58288821933367, 0.741279581326494, 0.750493108984383, 0.62380267300515, 0.772448979591837, 0.697721088435374, 0.822210884353741"
"22",750,5,17,0.744025358004956,"0.90321828358209, 0.781813588308458, 0.704232742537313, 0.86248343639576, 0.690218008581524, 0.581182168096921, 0.744762619628448, 0.7494818706866, 0.635265319738955, 0.742312925170068, 0.703979591836735, 0.829353741496599"
"23",750,3,20,0.748211871401505,"0.903143878820185, 0.784022965529495, 0.708467150852878, 0.86243295683998, 0.689757382635033, 0.562848624432105, 0.746239027543212, 0.744152749108651, 0.642375680240195, 0.778265306122449, 0.718469387755102, 0.838367346938775"
"24",900,5,15,0.742783110851845,"0.903472592395167, 0.781520411336176, 0.70537546641791, 0.86176883518425, 0.694944156991418, 0.574377681726401, 0.746225057859511, 0.744525760513751, 0.614588728341778, 0.723877551020408, 0.735918367346939, 0.826802721088435"
"25",50,5,5,0.742472347923131,"0.899392546197583, 0.77438921464108, 0.709628198294243, 0.856142730943968, 0.677251861433619, 0.58342535335689, 0.737641416984633, 0.733953211984738, 0.602231396342862, 0.791360544217687, 0.789897959183673, 0.754353741496599"
