"","nrounds","max_depth","eta","subsample","min_child_weight","gamma","colsample_bylevel","mean_ROC_AUC","fold_ROC_AUC"
"59",500,5,0.05,0.6,5,0.1,0.8,0.730990757415011,"0.74940572267058, 0.515386240977957, 0.871854920388891, 0.587122916285034, 0.931183986752596"
"60",50,5,0.05,0.8,5,0.1,0.6,0.725308424064954,"0.697219369038885, 0.525521815462644, 0.863694935478712, 0.617660377358491, 0.922445622986036"
"61",100,3,0.1,0.8,1,0.1,0.7,0.719918484433,"0.729002201027146, 0.499032771961766, 0.86805837464582, 0.600477010441473, 0.903022064088793"
"62",50,3,0.01,0.8,1,0,0.6,0.709172160911801,"0.655854732208364, 0.508168606541388, 0.854890660302699, 0.605144531965562, 0.921802273540995"
"63",50,3,0.05,0.8,10,0,0.6,0.711220299010142,"0.691012472487161, 0.499520449964237, 0.858955788463668, 0.585011906942663, 0.921600877192982"
"64",500,3,0.01,0.7,5,0.1,0.7,0.724620300274188,"0.73028613352898, 0.505350911416, 0.862770273872056, 0.603255541307932, 0.921438641245972"
"65",50,3,0.01,0.6,10,0.1,0.6,0.71606376868939,"0.689185619955979, 0.507320588681535, 0.854015204635199, 0.607066495695182, 0.922730934479055"
"66",100,5,0.01,0.6,5,0.1,0.6,0.719566934734969,"0.68940572267058, 0.51717710297592, 0.861862014245119, 0.607022531599194, 0.922367302184032"
"67",50,5,0.05,0.8,1,0.1,0.6,0.719513512067002,"0.674064563462949, 0.525007044237814, 0.862494515588031, 0.612962813702143, 0.923038623344074"
"68",500,5,0.05,0.7,10,0.1,0.8,0.736146190103492,"0.769420396184886, 0.522484665236145, 0.87241053745187, 0.589192159736215, 0.927223191908342"
"69",50,3,0.1,0.7,1,0,0.6,0.721118175297241,"0.71545121056493, 0.494516331794438, 0.863208514267672, 0.614450265616413, 0.91796455424275"
"70",500,5,0.1,0.6,5,0,0.7,0.726137898256879,"0.725333822450477, 0.528976201313479, 0.871497152206271, 0.57806191610185, 0.926820399212317"
"71",100,3,0.1,0.7,10,0.1,0.6,0.73100729466323,"0.747454145267792, 0.508537074365477, 0.864470441582299, 0.604733467668071, 0.92984134443251"
"72",1000,3,0.01,0.7,5,0.1,0.6,0.734079646462396,"0.741760821716801, 0.509962177861586, 0.86921420165414, 0.619496611100934, 0.929964419978518"
"73",500,5,0.1,0.7,1,0.1,0.8,0.733437653526708,"0.767057960381511, 0.523292043262457, 0.872534577423495, 0.590327898882579, 0.913975787683494"
"74",1000,5,0.1,0.7,10,0,0.7,0.730105745722689,"0.746793837123991, 0.514513839217981, 0.876046651330816, 0.593503572082799, 0.919670828857859"
"75",1000,3,0.05,0.6,10,0,0.8,0.733991401424661,"0.772898019075569, 0.519287664997724, 0.873823157955165, 0.573804726140319, 0.930143438954529"
"76",100,5,0.05,0.6,1,0.1,0.7,0.724696922281956,"0.693118121790169, 0.516253224093461, 0.868843106862998, 0.615160285766624, 0.930109872896527"
"77",500,3,0.05,0.8,10,0,0.7,0.735088076511264,"0.758914159941306, 0.515825151180181, 0.872245492530949, 0.591945777614948, 0.936509801288937"
"78",1000,5,0.01,0.8,5,1,0.6,0.734158242628719,"0.744181951577403, 0.52324327546221, 0.86843100712256, 0.602665689686756, 0.932269289294665"
"79",100,5,0.1,0.7,1,0.1,0.7,0.735273115163035,"0.754761555392516, 0.517044346186358, 0.870831846903921, 0.614459791170544, 0.919268036161833"
"80",100,5,0.05,0.7,1,0,0.6,0.726157198861362,"0.70432868672047, 0.521774822810326, 0.86947560820591, 0.606294193075655, 0.92891268349445"
"81",500,5,0.01,0.6,5,0,0.8,0.73016930079878,"0.732149669845928, 0.517412814010447, 0.868186002550508, 0.603939183000549, 0.929158834586466"
