"","iteration","n.trees","interaction.depth","shrinkage","n.minobsinnode","mean_ROC_AUC","fold_ROC_AUC"
"35",35,750,6,0.005,5,0.740283120652889,"0.866324626865672, 0.778883484363895, 0.595153140547264, 0.808756625441696, 0.684535903584048, 0.570596447501262, 0.739355726527804, 0.738397030920957, 0.620374053918809, 0.810952380952381, 0.799659863945578, 0.870408163265306"
"36",36,750,4,0.005,20,0.712895346032876,"0.849124911158493, 0.776453669154229, 0.562173507462687, 0.785031234225139, 0.683691948510853, 0.489081429833417, 0.734501782698442, 0.737662267258814, 0.577295510935969, 0.743197278911565, 0.760680272108843, 0.855850340136054"
"37",37,750,3,0.005,10,0.725867322186318,"0.841925417555082, 0.777305437100213, 0.668055370469083, 0.773848435133771, 0.683141405855628, 0.545957691822312, 0.735563478659744, 0.735139384082901, 0.641512061883614, 0.722585034013605, 0.721768707482993, 0.863605442176871"
"38",38,250,5,0.01,15,0.717003263371171,"0.84694052061123, 0.778284914712154, 0.616181925195451, 0.780773599192327, 0.677909673144876, 0.513230376072691, 0.738780258960405, 0.7426963574571, 0.655568065720064, 0.657210884353742, 0.728027210884354, 0.86843537414966"
"39",39,1000,4,0.005,20,0.723795455050756,"0.856770833333333, 0.774933368869936, 0.48484697050462, 0.795385853104493, 0.686597677940434, 0.529080167844523, 0.739437876608077, 0.737218573424241, 0.612838764829758, 0.83891156462585, 0.765986394557823, 0.863537414965986"
"40",40,500,4,0.01,5,0.728809834155811,"0.858889703269367, 0.778766879886283, 0.584519367448472, 0.797447627460878, 0.686092882382635, 0.495498643361938, 0.736951272909239, 0.732007255895415, 0.621598799024207, 0.78734693877551, 0.786462585034014, 0.880136054421769"
"41",41,250,6,0.005,10,0.71585672753544,"0.840683857498223, 0.77418710021322, 0.634900830668088, 0.77213528520949, 0.676683177688036, 0.542243500757193, 0.734533058109714, 0.738463126290111, 0.615770521882363, 0.68578231292517, 0.71108843537415, 0.863809523809524"
"42",42,100,4,0.01,20,0.697159999813343,"0.826695762260128, 0.765766035891969, 0.521385816453447, 0.755009307168097, 0.676350328117113, 0.513926047450782, 0.733169867183753, 0.735740497487542, 0.575903546631638, 0.699863945578231, 0.71843537414966, 0.843673469387755"
"43",43,250,6,0.005,20,0.697797438688912,"0.839360119047619, 0.768152540867093, 0.516279650852879, 0.771493248359414, 0.675767446996466, 0.543982679202423, 0.738013802881508, 0.742134651070662, 0.60661641750589, 0.652244897959184, 0.656054421768708, 0.863469387755102"
"44",44,250,5,0.005,10,0.709946176054258,"0.837491671108742, 0.77019756130064, 0.604986784825871, 0.765704663048965, 0.677104366481575, 0.549171031044927, 0.737758804028273, 0.740803361064198, 0.591714101040429, 0.659659863945578, 0.716190476190476, 0.868571428571429"
"45",45,250,6,0.01,15,0.730486054592593,"0.852465351812367, 0.775507507107321, 0.623579091151386, 0.790284262998486, 0.688271390711762, 0.55351148409894, 0.739834865828486, 0.737750255415859, 0.652451575238214, 0.71265306122449, 0.761496598639456, 0.878027210884354"
"46",46,50,3,0.005,15,0.703807154759259,"0.81205579246624, 0.76182980188344, 0.557703669154229, 0.7357024545684, 0.67029593639576, 0.479319945734478, 0.726308250453493, 0.742508079481245, 0.629859886157503, 0.682551020408163, 0.809829931972789, 0.837721088435374"
"47",47,1000,4,0.01,20,0.732556949944953,"0.877459799218195, 0.771846126510306, 0.602180503731343, 0.823684376577486, 0.688183051489147, 0.544108089348814, 0.734713621484123, 0.736162715539709, 0.589419945372282, 0.77421768707483, 0.795102040816327, 0.853605442176871"
"48",48,100,5,0.01,5,0.707326699245183,"0.831593705579247, 0.771661225124378, 0.652942874911159, 0.763892920242302, 0.676721037354871, 0.500656234225139, 0.735035758220221, 0.736807406017389, 0.628167052396739, 0.635102040816326, 0.689897959183673, 0.865442176870748"
"49",49,250,6,0.005,5,0.70558731932348,"0.840066409026297, 0.77502776297086, 0.582328313788202, 0.772313541140838, 0.678299312216053, 0.504700119888945, 0.733284752194491, 0.737360563791414, 0.585571818769417, 0.776598639455782, 0.607959183673469, 0.873537414965986"
"50",50,750,5,0.01,5,0.739267682589459,"0.880029539800995, 0.778731343283582, 0.597088774875622, 0.827878912165573, 0.681860487127713, 0.540688099444725, 0.737981693459269, 0.737769437668105, 0.641768937261525, 0.796666666666667, 0.776734693877551, 0.874013605442177"
"51",51,100,5,0.01,20,0.696815002390014,"0.830488739339019, 0.770330823560768, 0.508084021855011, 0.761906865219586, 0.676792812973246, 0.548767983341747, 0.741509976856196, 0.739005858927045, 0.591287504430683, 0.630884353741497, 0.719659863945578, 0.843061224489796"
"52",52,1000,4,0.005,10,0.735717168824571,"0.858779761904762, 0.776554726368159, 0.636707089552239, 0.798405161534579, 0.685698510853105, 0.543716872791519, 0.738061341506641, 0.739832780801068, 0.635815766977336, 0.775646258503401, 0.759659863945578, 0.879727891156463"
"53",53,500,5,0.005,5,0.718775556885497,"0.847981076759062, 0.774263726012793, 0.580896299751244, 0.784841935890964, 0.681705893488137, 0.51781770570419, 0.733306644982382, 0.730851733700298, 0.603437584704239, 0.75578231292517, 0.742176870748299, 0.872244897959184"
"54",54,100,6,0.005,15,0.706528264033038,"0.830423773987207, 0.769863850390903, 0.614503375977257, 0.761007698132256, 0.67518456587582, 0.492190654972236, 0.74075874147745, 0.740978711870061, 0.629312149454765, 0.720204081632653, 0.664931972789116, 0.838979591836735"
"55",55,500,6,0.01,10,0.734996114503197,"0.873574093816631, 0.775310945273632, 0.659136238450604, 0.819600265017668, 0.685092756183746, 0.467790888440182, 0.742308125351848, 0.737972519338629, 0.641616521757261, 0.776802721088435, 0.776122448979592, 0.864625850340136"
"56",56,1000,3,0.005,5,0.714313642015659,"0.850473081023454, 0.776791266879886, 0.475243758884151, 0.785965106007067, 0.682166519434629, 0.488242995961636, 0.737171451804591, 0.73417568441025, 0.620649486040741, 0.773741496598639, 0.771224489795918, 0.875918367346939"
"57",57,100,5,0.01,10,0.711260319195581,"0.832098436389481, 0.768637837597726, 0.632298329779673, 0.763594775365977, 0.675922829379101, 0.559953148662292, 0.734585392297909, 0.738087404349367, 0.619571526865578, 0.607482993197279, 0.735340136054422, 0.867551020408163"
"58",58,500,5,0.01,15,0.719483096337255,"0.865238539445629, 0.776150497512438, 0.452684679282161, 0.806251577486118, 0.686167024230187, 0.52689850454316, 0.740145951919268, 0.739742707616605, 0.661334000542107, 0.788299319727891, 0.722312925170068, 0.868571428571429"
"59",59,250,5,0.01,5,0.723014499596904,"0.849897832267235, 0.775370358031272, 0.604598658493248, 0.783267604745078, 0.684020065623423, 0.58828164437153, 0.734359583828527, 0.734595608932258, 0.637496924584558, 0.68, 0.747823129251701, 0.856462585034014"
"60",60,500,5,0.01,20,0.724564571592022,"0.863523898365316, 0.775337597725657, 0.55879197761194, 0.806369888944977, 0.68767667844523, 0.521658884401817, 0.734706532390901, 0.735288672046037, 0.589379912845854, 0.744489795918367, 0.795646258503401, 0.881904761904762"
"61",61,100,6,0.01,20,0.704170293959553,"0.836463885927505, 0.765422885572139, 0.586612695451315, 0.766747381373044, 0.675219270570419, 0.523693052751136, 0.736099330706199, 0.742212839598841, 0.638864702570839, 0.639523809523809, 0.692925170068027, 0.846258503401361"
"62",62,250,5,0.01,20,0.715517841362587,"0.845891080312722, 0.775076625799574, 0.550157693674485, 0.781486622917718, 0.682261168601716, 0.574306694851085, 0.740218927878902, 0.741977440003336, 0.576946685848919, 0.714081632653061, 0.743945578231292, 0.859863945578231"
"63",63,500,3,0.005,5,0.699479280522817,"0.835405561478323, 0.775762926439232, 0.553065031982942, 0.76402069661787, 0.683959332407875, 0.48336698637052, 0.733102520798149, 0.735170659494172, 0.596020099664311, 0.659727891156463, 0.701224489795918, 0.872925170068027"
"64",64,50,5,0.005,5,0.740362743778339,"0.824213197405828, 0.769103144989339, 0.70097947761194, 0.751512809187279, 0.679735613326603, 0.600288679959616, 0.733553720731428, 0.743184045370197, 0.60440128437689, 0.85078231292517, 0.75, 0.876598639455782"
"65",65,100,4,0.005,20,0.700129111679096,"0.823627398720682, 0.760792577292111, 0.589369558457711, 0.747633770822817, 0.671989367743564, 0.521210878344271, 0.736604324346865, 0.739473113571443, 0.582957194387106, 0.630408163265306, 0.741802721088435, 0.855680272108844"
"66",66,50,5,0.01,15,0.70195914351727,"0.824882285003554, 0.769578447050462, 0.587306214463397, 0.755889544422009, 0.681598624432105, 0.511586635537607, 0.740401367777986, 0.73490440149288, 0.590219344884385, 0.580340136054422, 0.801292517006803, 0.845510204081633"
"67",67,50,6,0.005,15,0.696396041885906,"0.829251066098081, 0.761182924662402, 0.532405494847193, 0.756035461887935, 0.67806584427057, 0.507873233215548, 0.733719063405684, 0.742428431433873, 0.605756969204145, 0.679829931972789, 0.694353741496599, 0.835850340136054"
"68",68,50,3,0.01,5,0.710908943740736,"0.814467284115139, 0.759521588486141, 0.650072183724236, 0.740214853609288, 0.678311143361938, 0.54150681474003, 0.735579741873606, 0.735882070849232, 0.589705385625821, 0.775272108843537, 0.684149659863946, 0.826224489795918"
"69",69,500,3,0.005,10,0.71385488030304,"0.834413868159204, 0.775233208955224, 0.6811983608742, 0.763093134780414, 0.683258139828369, 0.557857458354367, 0.733091261650091, 0.732777882029149, 0.634723004107504, 0.643945578231293, 0.662312925170068, 0.864353741496599"
"70",70,500,6,0.005,5,0.728296714171551,"0.854819651741293, 0.777999511371713, 0.657252243248046, 0.791836509338718, 0.687093008581524, 0.564891468955073, 0.738676424594983, 0.740589228748358, 0.586878713955089, 0.741224489795918, 0.725102040816327, 0.873197278911565"
"71",71,750,5,0.01,10,0.748580284641945,"0.879502043354655, 0.777490893745558, 0.683515458422175, 0.826866166077739, 0.678782811711257, 0.579580230943968, 0.740886970663664, 0.737172285815558, 0.648214174016388, 0.770272108843537, 0.806258503401361, 0.854421768707483"
"72",72,50,6,0.005,20,0.690770195929002,"0.828450382018479, 0.762550528606965, 0.491046441897655, 0.755687626198889, 0.676933209237759, 0.519897621150934, 0.735564312670712, 0.738129938908697, 0.589145555764058, 0.591768707482993, 0.740034013605442, 0.860034013605442"
"73",73,100,5,0.005,15,0.708132608510585,"0.827151074982232, 0.767951536958067, 0.638383417732765, 0.754831839979808, 0.679562878596668, 0.567195387430591, 0.736418965409395, 0.740706824294739, 0.621545839327787, 0.686156462585034, 0.628367346938775, 0.849319727891157"
"74",74,750,3,0.01,15,0.728932262223026,"0.860323383084577, 0.773287579957356, 0.623505796908316, 0.798250567895002, 0.683374873801111, 0.507836951034831, 0.738729801296887, 0.733704051208273, 0.631507474823294, 0.755238095238095, 0.766802721088435, 0.874625850340136"
"75",75,250,5,0.01,10,0.721278640806329,"0.849442519545132, 0.772413601634684, 0.616617803837953, 0.783654088844018, 0.684445198132256, 0.549553571428571, 0.738090531890494, 0.735641875690665, 0.615688580304831, 0.669591836734694, 0.746462585034014, 0.893741496598639"
"76",76,750,4,0.01,5,0.730066209075431,"0.871850568585643, 0.776278207178394, 0.625518612295665, 0.817062089853609, 0.687815497223624, 0.490524829631499, 0.734236984216342, 0.730565667938533, 0.592384228852609, 0.806054421768707, 0.752176870748299, 0.876326530612245"
"77",77,500,5,0.01,5,0.73487301015107,"0.86866671108742, 0.778909026297086, 0.584898054371002, 0.809335562847047, 0.679833417465926, 0.520815718071681, 0.740600070890932, 0.734164842267676, 0.632749317153521, 0.733197278911565, 0.863741496598639, 0.87156462585034"
"78",78,500,5,0.005,15,0.728245196908945,"0.847823383084577, 0.775679637526652, 0.635739827647477, 0.78209868753155, 0.68468576476527, 0.569829000504796, 0.737322407789662, 0.738859490002294, 0.633298721878193, 0.747482993197279, 0.727891156462585, 0.858231292517007"
"79",79,1000,3,0.01,5,0.723925518406021,"0.87039578891258, 0.775276519189765, 0.560958044598436, 0.814279404341242, 0.683426930843009, 0.501762051993942, 0.734812034778257, 0.733330831300432, 0.605177540084652, 0.802040816326531, 0.746530612244898, 0.859115646258503"
"80",80,1000,4,0.005,5,0.730103330153364,"0.859623756218906, 0.777472014925373, 0.639601656894101, 0.799103987884907, 0.686007698132256, 0.526532527763756, 0.736624340610079, 0.73595212777048, 0.568621171368404, 0.77469387755102, 0.804897959183673, 0.852108843537415"
"81",81,50,4,0.01,5,0.718730288609436,"0.821358608742004, 0.77113150764037, 0.668615627221038, 0.742704126703685, 0.682430748359414, 0.581288648409894, 0.733610224974458, 0.74100852776214, 0.60237734826213, 0.772176870748299, 0.655510204081633, 0.852551020408163"
"82",82,1000,6,0.005,15,0.737671883153338,"0.872293665600569, 0.780193896588486, 0.595176461442786, 0.817227725896012, 0.684980754669359, 0.565237727158001, 0.738537561768937, 0.741550426388107, 0.639109276286983, 0.772721088435374, 0.761360544217687, 0.883673469387755"
"83",83,1000,5,0.005,15,0.737298387195457,"0.865536158493248, 0.776574715707178, 0.626955623667377, 0.80753565118627, 0.68651722614841, 0.548432767541646, 0.739431621525823, 0.733267863472405, 0.641968474385438, 0.775918367346939, 0.78312925170068, 0.862312925170068"
"84",84,500,5,0.005,10,0.725152463389039,"0.849395877754087, 0.774958910803127, 0.636121290867093, 0.782335310449268, 0.683671441191318, 0.551849602473498, 0.737867016951273, 0.738851149892621, 0.63201705552428, 0.70843537414966, 0.735170068027211, 0.871156462585034"
