"","num_iterations","num_leaves","learning_rate","subsample","colsample_bytree","mean_ROC_AUC","fold_ROC_AUC"
"34",500,40,0.1,0.8,0.6,0.805778206264601,"0.763579614619518, 0.807948605891093, 0.757876115721892, 0.888648761094675, 0.810837933995829"
"35",1000,40,0.05,0.6,0.6,0.807682846682905,"0.765387013449719, 0.807564024123765, 0.761908373786408, 0.89029755300789, 0.813257269046743"
"36",50,40,0.01,0.8,0.6,0.812948269284746,"0.788190114604673, 0.774383358098068, 0.768862061540871, 0.912527993507561, 0.820777818672556"
"37",500,20,0.05,0.8,0.7,0.802560609824874,"0.769925922627, 0.797799143431518, 0.749865428280614, 0.882490189431295, 0.812722365353944"
"38",50,30,0.01,0.8,0.8,0.809527572024385,"0.779724659303465, 0.769962415872738, 0.771335734419042, 0.91041949169954, 0.816195558827138"
"39",100,30,0.1,0.6,0.8,0.811796218548151,"0.777843962471423, 0.792890481601259, 0.759574166144692, 0.903927052514793, 0.824745430008588"
"40",500,20,0.05,0.6,0.6,0.804222315142174,"0.765581856239423, 0.79234507473123, 0.754597459285938, 0.894476033448389, 0.814111152005889"
"41",50,20,0.05,0.6,0.8,0.812505523488562,"0.77512358599804, 0.787373481339044, 0.761015306921391, 0.912081124671269, 0.826934118513066"
"42",500,20,0.1,0.8,0.6,0.804831003983228,"0.763158383064636, 0.800019229088366, 0.753946621515816, 0.893248428254438, 0.813782357992884"
"43",1000,20,0.01,0.8,0.8,0.80846199586178,"0.775223790861316, 0.799847915392011, 0.749312460851863, 0.900031075361604, 0.817894736842105"
"44",1000,40,0.05,0.7,0.7,0.804315562453105,"0.765604123986818, 0.801882702560965, 0.766899761196367, 0.884686010437212, 0.802505214084161"
"45",100,20,0.05,0.6,0.7,0.812825953046289,"0.779519610462872, 0.795939166156804, 0.752733029282806, 0.911962986932939, 0.823974972396025"
"46",50,30,0.05,0.7,0.7,0.812511616068403,"0.783361724711262, 0.782178131282231, 0.767181138427811, 0.909519333497699, 0.820317752423016"
"47",100,10,0.01,0.6,0.8,0.807765207611855,"0.782229780885366, 0.76595052879993, 0.751512096774194, 0.912892679569362, 0.826240952030426"
"48",50,20,0.05,0.7,0.6,0.814954972862634,"0.779970532347614, 0.788301721877458, 0.765776699029126, 0.912944043803419, 0.827781867255551"
"49",1000,20,0.05,0.7,0.6,0.803205151889164,"0.762928283008224, 0.793456865658596, 0.758663971969934, 0.89075212647929, 0.810224512329775"
"50",1000,30,0.05,0.7,0.6,0.808523950021843,"0.769376651524598, 0.806403286426012, 0.762715804102725, 0.88765486316568, 0.816469144890198"
"51",500,40,0.01,0.7,0.6,0.813413119810042,"0.78046413408153, 0.797980945721528, 0.755287445192609, 0.909507776545036, 0.823825297509508"
"52",50,40,0.1,0.8,0.6,0.810733049590986,"0.777804993913482, 0.797680272703435, 0.756515717976824, 0.895469931377383, 0.826194331983806"
"53",100,10,0.05,0.7,0.7,0.810777874842376,"0.778298595647398, 0.786352591556682, 0.750760941904165, 0.914927987343853, 0.823549257759784"
"54",50,10,0.05,0.7,0.8,0.810890225257608,"0.778460964638817, 0.781183462984005, 0.75523116974632, 0.914576142340565, 0.824999386578334"
"55",500,30,0.01,0.7,0.8,0.811563444399783,"0.778049939134824, 0.796795734638581, 0.752635158941434, 0.90773057404668, 0.822605815237394"
"56",1000,10,0.1,0.8,0.8,0.798839299169872,"0.754872925388201, 0.798788567432917, 0.752091978546821, 0.879688270463511, 0.808754754017912"
"57",100,20,0.01,0.6,0.8,0.81008358862011,"0.782606476945459, 0.77369985141159, 0.760281279361102, 0.911277274408284, 0.822553060974114"
"58",50,20,0.1,0.8,0.7,0.812929520875163,"0.777579532971111, 0.799751769950179, 0.754350336673974, 0.910987066485865, 0.821978898294688"
"59",50,30,0.1,0.6,0.6,0.809891220091711,"0.78036578486387, 0.797365614893803, 0.745781788286878, 0.898703309911243, 0.82723960250276"
"60",500,10,0.1,0.8,0.8,0.798673872580678,"0.762614678899083, 0.794904291582904, 0.7491509747886, 0.877453926282051, 0.809245491350755"
"61",1000,30,0.05,0.6,0.8,0.802253943302995,"0.758881119919242, 0.79225067738834, 0.763885354682117, 0.889745387491782, 0.806507177033493"
"62",500,40,0.05,0.7,0.7,0.8069615391471,"0.769643864493335, 0.806364828249279, 0.766278284528656, 0.887439133382643, 0.805081585081585"
