"","num_iterations","num_leaves","learning_rate","subsample","colsample_bytree","mean_ROC_AUC","fold_ROC_AUC"
"54",100,10,0.1,0.6,0.7,0.773142752084858,NA
"55",500,10,0.1,0.6,0.7,0.763294597140996,NA
"56",500,10,0.01,0.7,0.7,0.784793475893934,NA
"57",50,20,0.01,0.7,0.7,0.768809511667347,NA
"58",500,20,0.01,0.7,0.7,0.778418048096563,NA
"59",50,10,0.05,0.7,0.7,0.788602901335351,NA
"60",100,10,0.05,0.7,0.7,0.78734947037802,NA
"61",500,10,0.05,0.7,0.7,0.775927383865989,NA
"62",1000,10,0.05,0.7,0.7,0.768803853977305,NA
"63",100,20,0.05,0.7,0.7,0.779042315986568,NA
"64",50,30,0.05,0.7,0.7,0.771002457715372,NA
"65",500,40,0.05,0.7,0.7,0.764250871361013,NA
"66",1000,40,0.05,0.7,0.7,0.761073021248234,NA
"67",50,20,0.1,0.7,0.7,0.775353505002879,NA
"68",1000,20,0.1,0.7,0.7,0.758994504713695,NA
"69",500,30,0.1,0.7,0.7,0.75894959095831,NA
"70",1000,30,0.1,0.7,0.7,0.757010590356517,NA
"71",1000,40,0.1,0.7,0.7,0.756737777208617,NA
"72",500,10,0.01,0.8,0.7,0.784793475893934,NA
"73",1000,10,0.01,0.8,0.7,0.781835880609335,NA
"74",100,40,0.01,0.8,0.7,0.769403112138303,NA
"75",500,40,0.01,0.8,0.7,0.773583530034762,NA
"76",1000,40,0.01,0.8,0.7,0.770306072344845,NA
"77",100,20,0.05,0.8,0.7,0.779042315986568,NA
"78",500,20,0.05,0.8,0.7,0.769849752426695,NA
"79",50,10,0.1,0.8,0.7,0.780558429952224,NA
"80",50,20,0.1,0.8,0.7,0.775353505002879,NA
"81",100,20,0.1,0.8,0.7,0.773794903865175,NA
"82",1000,20,0.1,0.8,0.7,0.758994504713695,NA
"83",100,40,0.1,0.8,0.7,0.768279089683852,NA
"84",100,10,0.01,0.6,0.8,0.780210006087846,NA
"85",500,10,0.01,0.6,0.8,0.785615123838336,NA
"86",100,20,0.01,0.6,0.8,0.770598671631329,NA
"87",500,30,0.01,0.6,0.8,0.775843025455981,NA
"88",100,40,0.01,0.6,0.8,0.768217047486274,NA
"89",100,10,0.05,0.6,0.8,0.78553005970107,NA
"90",1000,10,0.05,0.6,0.8,0.769804796399762,NA
