"","num_iterations","num_leaves","learning_rate","subsample","colsample_bytree","mean_ROC_AUC","fold_ROC_AUC"
"11",100,40,0.1,0.8,0.8,0.757640945479332,"0.918024831201137, 0.777233253375977, 0.687720993248045, 0.883617806663301, 0.684026375567895, 0.604950151438667, 0.730596526344321, 0.744789099476658, 0.651956798231897, 0.739863945578231, 0.795578231292517, 0.873333333333333"
"12",100,20,0.1,0.7,0.8,0.752826181508119,"0.91435789800995, 0.775790134150675, 0.687719882729211, 0.877981448763251, 0.681810796314992, 0.604948573952549, 0.731792915076833, 0.736261545839328, 0.651958466253831, 0.712789115646258, 0.791836734693877, 0.866666666666667"
"13",50,30,0.01,0.6,0.7,0.714848856610542,"0.874478611407249, 0.776400919509595, 0.636852012260128, 0.824749968450278, 0.684943683745583, 0.568484193589096, 0.726067638289444, 0.735880819832781, 0.633355643126707, 0.597074829931973, 0.664047619047619, 0.855850340136054"
"14",100,30,0.1,0.7,0.6,0.75505475127187,"0.917036469438522, 0.78066697761194, 0.69078158315565, 0.882344775365977, 0.68853325340737, 0.609416014639071, 0.735115197764851, 0.747192510581514, 0.672699484998228, 0.702721088435374, 0.765918367346939, 0.868231292517007"
"15",500,30,0.1,0.7,0.6,0.752804944806084,"0.918511238450604, 0.771722858919687, 0.680789134683724, 0.884245646138314, 0.677486118122161, 0.605134717314488, 0.741014574341653, 0.742920706407289, 0.669861554179437, 0.747619047619048, 0.779931972789116, 0.814421768707483"
"16",1000,40,0.01,0.8,0.7,0.754641614168118,"0.917980410447761, 0.783235607675906, 0.690352922885572, 0.883564172135285, 0.692300290257446, 0.601079000504796, 0.74026021142178, 0.74468797564688, 0.655980275640625, 0.741156462585034, 0.741496598639456, 0.863605442176871"
"17",50,20,0.01,0.7,0.7,0.708485367146167,"0.859113472814499, 0.772859474946695, 0.636852012260128, 0.802128817516406, 0.679840516153458, 0.568484193589096, 0.720409707887659, 0.732760159296095, 0.633355643126707, 0.595442176870748, 0.689795918367347, 0.81078231292517"
"18",100,10,0.1,0.8,0.8,0.735163223701044,"0.900306503198294, 0.775218772210377, 0.687841484541578, 0.859507508833922, 0.681033884401817, 0.612980344522968, 0.730525218406622, 0.734648360125936, 0.659352390483935, 0.744081632653061, 0.657414965986395, 0.779047619047619"
"19",1000,30,0.01,0.7,0.8,0.758271536872836,"0.917236362828714, 0.780644767235252, 0.670001554726368, 0.882458354366482, 0.688739904088844, 0.59835310449268, 0.734831634035988, 0.739724359375326, 0.652914659827777, 0.82312925170068, 0.74891156462585, 0.862312925170068"
"20",50,30,0.1,0.8,0.6,0.750407558026556,"0.911125177683013, 0.779241626687989, 0.671059879175551, 0.873099129227663, 0.686600044169611, 0.59623611812216, 0.735864765121661, 0.747303225537416, 0.669360730593607, 0.750816326530612, 0.732006802721088, 0.852176870748299"
"21",500,10,0.05,0.7,0.8,0.750480127752694,"0.915056414356788, 0.77660803127221, 0.692542866027008, 0.879363326602726, 0.682840106007067, 0.606518172640081, 0.731490586101207, 0.729970601113405, 0.660214966326807, 0.734013605442177, 0.781224489795918, 0.815918367346939"
"22",1000,20,0.1,0.6,0.8,0.748098114858882,"0.918511238450604, 0.76396921641791, 0.658153429282161, 0.884245646138314, 0.66928792276628, 0.599086635537607, 0.742582931965555, 0.734745313900878, 0.64775150643231, 0.790748299319728, 0.759863945578231, 0.808231292517007"
"23",100,30,0.05,0.6,0.6,0.753806959830936,"0.910990804904051, 0.783188965884861, 0.645470193674485, 0.873206398283695, 0.692202486118122, 0.581593891973751, 0.72806697108067, 0.741353391297096, 0.651787285502804, 0.866530612244898, 0.692380952380952, 0.87891156462585"
