species,decimalLongitude,decimalLatitude
Gentianella campestris,16.30797,62.29159
Gentianella campestris,14.45043,57.9013
Gentianella campestris,18.38749,60.52126
Gentianella campestris,17.86925,60.49127
Gentianella campestris,18.0475,60.30247
Gentianella campestris,18.01359,60.16596
Gentianella campestris,17.13161,59.59482
Gentianella campestris,17.55527,60.19863
Gentianella campestris,18.42922,60.22886
Gentianella campestris,12.69986,56.37259
Gentianella campestris,15.02677,57.51362
Gentianella campestris,17.23748,62.93759
Gentianella campestris,17.69059,62.51763
Gentianella campestris,16.91997,62.20939
Gentianella campestris,17.43328,62.93001
Gentianella campestris,17.49376,62.62783
Gentianella campestris,17.67736,62.62502
Gentianella campestris,14.78487,59.42834
Gentianella campestris,15.10762,60.75422
Gentianella campestris,14.8364,60.3818
Gentianella campestris,13.46088,60.96407
Gentianella campestris,13.95414,61.1937
Gentianella campestris,13.33293,60.9799
Gentianella campestris,15.12223,60.80197
Gentianella campestris,15.83182,58.71337
Gentianella campestris,15.26707,58.78532
Gentianella campestris,15.98345,58.77508
Gentianella campestris,16.74113,58.16428
Gentianella campestris,15.09839,58.14924
Gentianella campestris,15.9523,58.82272
Gentianella campestris,16.72931,58.17096
Gentianella campestris,15.53995,57.87211
Gentianella campestris,15.696,58.86047
Gentianella campestris,15.70689,57.90429
Gentianella campestris,15.29093,58.15659
Gentianella campestris,15.39651,58.21975
Gentianella campestris,15.09471,58.14159
Gentianella campestris,15.40073,58.0921
Gentianella campestris,16.71414,58.27445
Gentianella campestris,15.451,57.9687
Gentianella campestris,16.7522,58.30868
Gentianella campestris,16.67611,58.38749
Gentianella campestris,15.94507,58.07882
Gentianella campestris,15.60885,62.61195
Gentianella campestris,18.40058,59.63546
Gentianella campestris,18.24964,59.79382
Gentianella campestris,18.74659,59.93808
Gentianella campestris,14.88021,59.46387
Gentianella campestris,14.76773,59.41833
Gentianella campestris,16.48364,59.91264
Gentianella campestris,16.26199,56.87052
Gentianella campestris,16.32426,58.82454
Gentianella campestris,16.90434,59.26705
Gentianella campestris,16.25236,59.05032
Gentianella campestris,17.08209,58.7573
Gentianella campestris,14.92038,57.25013
Gentianella campestris,14.55936,57.90457
Gentianella campestris,17.37844,59.98731
Gentianella campestris,18.27544,60.25708
Gentianella campestris,18.23152,60.29738
Gentianella campestris,16.33715,60.3297
Gentianella campestris,15.46241,60.0236
Gentianella campestris,14.83787,61.18021
Gentianella campestris,13.38922,60.99474
Gentianella campestris,18.75197,59.85787
Gentianella campestris,18.26025,59.73974
Gentianella campestris,18.36633,59.70135
Gentianella campestris,17.71282,59.5003
Gentianella campestris,13.49137,58.62872
Gentianella campestris,19.1096,59.8349
Gentianella campestris,18.1068,60.2374
Gentianella campestris,18.3443,59.5592
Gentianella campestris,14.9846,60.9172
Gentianella campestris,15.8923,57.9645
Gentianella campestris,17.6927,59.0782
Gentianella campestris,15.7551,61.4668
Gentianella campestris,15.4282,58.0612
Gentianella campestris,15.3441,58.6675
Gentianella campestris,16.1741,61.1294
Gentianella campestris,15.9472,58.8178
Gentianella campestris,15.533,58.8444
Gentianella campestris,17.2174,58.9716
Gentianella campestris,15.0849,58.7442
Gentianella campestris,13.425,58.5963
Gentianella campestris,18.3719,59.8422
Gentianella campestris,16.5294,62.1682
Gentianella campestris,17.6709,60.1638
Gentianella campestris,14.8572,57.8689
Gentianella campestris,18.2438,59.8181
Gentianella campestris,15.5653,58.6836
Gentianella campestris,14.6162,63.0156
Gentianella campestris,15.035,57.7891
Gentianella campestris,18.1522,60.2417
Gentianella campestris,14.976,57.924
Gentianella campestris,13.4428,57.8707
