species,decimalLongitude,decimalLatitude
Gentianella campestris,16.99556,60.94217
Gentianella campestris,14.645827,66.98857
Gentianella campestris,14.424141,67.027844
Gentianella campestris,14.363495,66.932072
Gentianella campestris,14.367825,66.89755
Gentianella campestris,14.224248,66.981243
Gentianella campestris,14.324329,66.926081
Gentianella campestris,5.739803,58.53815
Gentianella campestris,13.649982,66.735152
Gentianella campestris,14.255096,66.834266
Gentianella campestris,13.628557,66.732725
Gentianella campestris,15.33537,57.39483
Gentianella campestris,14.64263,57.57892
Gentianella campestris,16.03118,57.63032
Gentianella campestris,15.79795,56.40163
Gentianella campestris,15.79458,56.84077
Gentianella campestris,13.601769,66.940184
Gentianella campestris,12.876,57.55594
Gentianella campestris,17.42031,59.50815
Gentianella campestris,18.93335,59.87924
Gentianella campestris,18.8501,59.8005
Gentianella campestris,17.93265,60.51452
Gentianella campestris,17.93065,60.53968
Gentianella campestris,18.0076,60.54562
Gentianella campestris,11.6908610710382,60.0420726414716
Gentianella campestris,9.4433,59.97
Gentianella campestris,10.0675,59.7159
Gentianella campestris,11.4080412679263,62.6835758761799
Gentianella campestris,10.0758,59.727
Gentianella campestris,10.2755555507809,61.4667154549143
Gentianella campestris,9.758,62.1534
Gentianella campestris,12.44185,59.09119
Gentianella campestris,14.64936,57.57537
Gentianella campestris,14.72074,60.03151
Gentianella campestris,16.33641,60.3302
Gentianella campestris,15.33704,57.82895
Gentianella campestris,18.87248,59.95438
Gentianella campestris,14.2207289214371,66.9726837521907
Gentianella campestris,14.3938395220281,66.9195830098648
Gentianella campestris,19.8509276519567,69.6682501219841
Gentianella campestris,21.4378678835124,70.3350918850053
Gentianella campestris,12.32057,58.91579
Gentianella campestris,12.62883,62.53387
Gentianella campestris,15.7681,58.35634
Gentianella campestris,15.57897,56.99981
Gentianella campestris,18.27558,60.25792
Gentianella campestris,14.37006,59.7833
Gentianella campestris,14.25451,59.8011
Gentianella campestris,14.21349,58.29358
Gentianella campestris,13.97564,58.11079
Gentianella campestris,18.42715,59.07079
Gentianella campestris,18.4709,59.07512
Gentianella campestris,16.03358,57.59938
Gentianella campestris,15.76807,57.21527
Gentianella campestris,11.96975,58.03617
Gentianella campestris,15.97164,57.58511
Gentianella campestris,15.50156,57.98739
Gentianella campestris,15.58078,58.67018
Gentianella campestris,14.02037,57.48468
Gentianella campestris,16.15312,57.50662
Gentianella campestris,14.69858,58.09383
Gentianella campestris,14.37048,63.3562
Gentianella campestris,16.23151,57.50459
Gentianella campestris,16.01216,61.57041
Gentianella campestris,12.75881,59.94172
Gentianella campestris,17.32192,58.89212
Gentianella campestris,8.603022,61.079646
Gentianella campestris,8.653848,61.044956
Gentianella campestris,15.15073,61.75965
Gentianella campestris,16.47037,61.23426
Gentianella campestris,11.204601,64.728284
Gentianella campestris,9.498865,62.615953
Gentianella campestris,9.115021,62.124006
Gentianella campestris,13.537917,66.902837
Gentianella campestris,18.01312,59.65167
Gentianella campestris,14.46448,57.78639
Gentianella campestris,15.53544,56.6501
Gentianella campestris,13.87273,57.56409
Gentianella campestris,18.33364,59.72088
Gentianella campestris,5.79873404503982,58.5010536520993
Gentianella campestris,9.5146,61.4359
Gentianella campestris,9.3262,63.6612
Gentianella campestris,10.963830503092,62.5706669399328
Gentianella campestris,13.6853,66.5197
Gentianella campestris,10.9284,60.615
Gentianella campestris,11.5785551555194,60.0990738103561
Gentianella campestris,8.96779919700552,59.3412187306032
Gentianella campestris,11.3398321470866,60.4861867719243
Gentianella campestris,8.8852,60.2831
Gentianella campestris,8.8753,60.2652
Gentianella campestris,8.6973,60.4525
